time_ms,valid,cx,cy,error_x,error_y
1949027,1,232,109,-8,-51
1949533,1,232,109,-8,-51
1949926,1,232,100,-8,-60
1950026,1,233,91,-7,-69
1950129,1,233,91,-7,-69
1950260,1,233,93,-7,-67
1950360,1,235,90,-5,-70
1950461,1,265,89,25,-71
1950562,1,273,88,33,-72
1950693,1,274,87,34,-73
1950794,1,274,89,34,-71
1950911,1,268,88,28,-72
1951018,1,244,90,4,-70
1951128,1,236,92,-4,-68
1951330,1,235,91,-5,-69
1951440,1,236,91,-4,-69
1951545,1,236,91,-4,-69
1951659,1,235,91,-5,-69
1951765,1,235,91,-5,-69
1951875,1,235,91,-5,-69
1951992,1,235,91,-5,-69
1952092,1,235,91,-5,-69
1952200,1,239,92,-1,-68
1952315,1,286,89,46,-71
1952419,1,280,89,40,-71
1952525,1,256,91,16,-69
1952625,1,245,92,5,-68
1952725,1,246,92,6,-68
1952826,1,246,92,6,-68
1952945,1,246,92,6,-68
1953059,1,242,91,2,-69
1953160,1,208,93,-32,-67
1953276,1,185,92,-55,-68
1953395,1,194,93,-46,-67
1953499,1,223,91,-17,-69
1953602,1,229,91,-11,-69
1953725,1,233,90,-7,-70
1953825,0,0,0,0,0
1953925,1,234,91,-6,-69
1954025,1,233,90,-7,-70
1954128,0,0,0,0,0
1954254,0,0,0,0,0
1954358,1,233,90,-7,-70
1954458,1,233,90,-7,-70
1954558,1,233,90,-7,-70
1954658,1,233,90,-7,-70
1954845,1,233,90,-7,-70
1954961,1,248,92,8,-68
1955064,1,276,87,36,-73
1955192,1,288,87,48,-73
1955324,1,281,87,41,-73
1955424,1,249,90,9,-70
1955524,1,246,90,6,-70
1955624,1,246,90,6,-70
1955729,1,246,90,6,-70
1955857,1,246,90,6,-70
1955957,1,231,89,-9,-71
1956063,1,205,92,-35,-68
1956191,1,225,91,-15,-69
1956291,1,234,90,-6,-70
1956413,1,235,90,-5,-70
1956524,1,234,91,-6,-69
1956624,1,234,91,-6,-69
1956724,1,234,91,-6,-69
1956824,1,234,91,-6,-69
1956924,1,234,91,-6,-69
1957024,1,234,91,-6,-69
1957124,1,234,91,-6,-69
1957225,1,234,91,-6,-69
1957341,1,234,91,-6,-69
1957447,1,239,91,-1,-69
1957557,1,273,87,33,-73
1957657,1,277,88,37,-72
1957757,1,274,88,34,-72
1957857,1,239,91,-1,-69
1957957,1,237,91,-3,-69
1958160,1,237,91,-3,-69
1958290,1,237,91,-3,-69
1958390,1,231,90,-9,-70
1958490,1,198,92,-42,-68
1958590,1,190,91,-50,-69
1958699,1,238,89,-2,-71
1958823,1,240,90,0,-70
1958923,1,240,91,0,-69
1959023,1,241,90,1,-70
1959130,1,240,90,0,-70
1959257,1,240,90,0,-70
1959372,1,240,90,0,-70
1959480,1,240,90,0,-70
1959585,1,240,90,0,-70
1959756,1,241,90,1,-70
1959856,1,240,90,0,-70
1959958,1,243,91,3,-69
1960074,1,280,88,40,-72
