time_ms,valid,cx,cy,error_x,error_y,area
3671853,1,270,153,30,-7,41314
3672171,1,271,150,31,-10,41358
3672271,1,271,148,31,-12,41584
3672371,1,271,148,31,-12,41584
3672504,1,271,148,31,-12,41358
3672604,1,276,147,36,-13,41584
3672737,1,304,144,64,-16,45202
3672837,1,305,145,65,-15,32039
3672937,1,305,144,65,-16,45630
3673037,1,306,144,66,-16,45630
3673141,1,300,144,60,-16,45008
3673270,1,276,146,36,-14,41995
3673370,1,264,148,24,-12,40725
3673470,1,263,148,23,-12,40725
3673570,1,264,148,24,-12,40950
3673673,1,263,149,23,-11,40725
3673788,1,263,149,23,-11,40725
3673889,1,252,148,12,-12,39694
3674005,1,244,149,4,-11,39025
3674236,1,243,149,3,-11,38802
3674338,1,244,149,4,-11,39025
3674455,1,238,149,-2,-11,38406
3674559,1,245,151,5,-9,27599
3674671,1,275,148,35,-12,41995
3674803,1,283,147,43,-13,42636
3674903,1,278,146,38,-14,41995
3675004,1,229,149,-11,-11,37962
3675117,1,239,148,-1,-12,38802
3675218,1,239,149,-1,-11,38628
3675337,1,240,149,0,-11,38406
3675453,1,239,148,-1,-12,38579
3675569,1,239,148,-1,-12,38579
3675669,1,239,148,-1,-12,38579
3675769,1,239,148,-1,-12,38579
3675902,1,240,149,0,-11,38356
3676002,1,239,148,-1,-12,38579
3676184,1,239,148,-1,-12,38579
3676284,1,239,148,-1,-12,38579
3676399,1,239,148,-1,-12,38579
3676502,1,239,148,-1,-12,38579
3676602,1,239,148,-1,-12,38579
3676703,1,239,148,-1,-12,38579
3676819,1,239,148,-1,-12,38579
3676924,1,239,148,-1,-12,38579
3677037,1,239,148,-1,-12,38579
3677169,1,252,150,12,-10,28178
3677269,1,285,147,45,-13,43052
3677377,1,257,148,17,-12,39694
3677502,1,239,149,-1,-11,38184
3677602,1,241,149,1,-11,38850
3677702,1,241,148,1,-12,38802
3677802,1,242,148,2,-12,38802
3677990,1,242,148,2,-12,38579
3678105,1,234,147,-6,-13,37962
3678239,0,0,0,0,0,0
3678347,0,0,0,0,0,0
3678458,0,0,0,0,0,0
3678571,0,0,0,0,0,0
3678676,0,0,0,0,0,0
3678781,0,0,0,0,0,0
3678886,0,0,0,0,0,0
3679035,1,230,150,-10,-10,26740
3679151,1,231,150,-9,-10,37962
3679267,1,238,150,-2,-10,38628
3679368,1,239,150,-1,-10,38406
3679468,1,239,150,-1,-10,38406
3679572,1,238,150,-2,-10,38628
3679701,1,238,150,-2,-10,38628
3679801,1,257,150,17,-10,28518
3679903,1,280,147,40,-13,42408
3680016,1,278,147,38,-13,42408
3680134,1,279,147,39,-13,41995
3680237,1,279,147,39,-13,41995
3680343,1,278,148,38,-12,41995
3680501,1,277,147,37,-13,42222
3680601,1,279,147,39,-13,41995
3680701,1,266,146,26,-14,29204
3680801,1,244,148,4,-12,38628
3680915,1,243,148,3,-12,38802
3681017,1,242,149,2,-11,38850
3681136,1,243,149,3,-11,38850
3681267,1,243,149,3,-11,38850
3681367,1,243,148,3,-12,39025
3681468,1,243,148,3,-12,39025
3681584,1,243,149,3,-11,38850
3681689,1,243,149,3,-11,38850
3681803,1,243,148,3,-12,39025
3681933,1,243,148,3,-12,39025
3682033,1,243,148,3,-12,39025
3682134,1,243,149,3,-11,38850
3682235,1,243,148,3,-12,39025
3682367,1,243,149,3,-11,38850
3682467,1,243,149,3,-11,38850
3682582,1,243,148,3,-12,39025
3682700,1,242,149,2,-11,39025
3682800,1,242,149,2,-11,39025
3682900,1,242,149,2,-11,39025
3683000,1,243,149,3,-11,27360
3683100,1,243,149,3,-11,27360
3683200,1,243,149,3,-11,27360
3683300,1,243,149,3,-11,39025
3683433,1,243,149,3,-11,39025
3683533,1,243,149,3,-11,39025
3683633,1,243,149,3,-11,39025
3683733,1,243,149,3,-11,39025
3683834,1,243,150,3,-10,38850
3683949,1,243,149,3,-11,39025
3684066,1,243,150,3,-10,38850
3684266,1,243,150,3,-10,38850
3684366,1,243,150,3,-10,38850
3684466,1,243,150,3,-10,38850
3684566,1,243,150,3,-10,38850
3684669,1,243,150,3,-10,38850
3684774,1,243,150,3,-10,38850
3684899,1,243,150,3,-10,38850
3684999,1,243,150,3,-10,38850
3685099,1,243,149,3,-11,39025
3685200,1,243,150,3,-10,38850
3685317,1,243,150,3,-10,38850
3685432,1,243,149,3,-11,39025
3685533,1,243,149,3,-11,39025
3685649,1,243,149,3,-11,39025
3685765,1,243,149,3,-11,39025
3685919,1,243,149,3,-11,39025
3686032,1,243,149,3,-11,39025
3686132,1,243,150,3,-10,38850
3686232,1,243,149,3,-11,39025
3686365,1,243,149,3,-11,39025
3686465,1,243,149,3,-11,39025
3686567,1,243,149,3,-11,39025
3686679,1,243,149,3,-11,39025
3686781,1,243,149,3,-11,39025
3686884,1,243,149,3,-11,39025
3686998,1,243,149,3,-11,39025
3687098,1,243,150,3,-10,38850
3687198,1,243,150,3,-10,38850
3687298,1,243,150,3,-10,38850
3687402,1,243,150,3,-10,38850
3687531,1,243,150,3,-10,38850
3687698,1,243,150,3,-10,38850
3687811,1,243,150,3,-10,38850
3687931,1,243,150,3,-10,38850
3688031,1,243,150,3,-10,38850
3688131,1,243,150,3,-10,38850
3688231,1,243,150,3,-10,38850
3688331,1,243,150,3,-10,38850
3688431,1,243,150,3,-10,38850
3688531,1,243,150,3,-10,38850
3688631,1,243,150,3,-10,38850
3688733,1,243,150,3,-10,38850
3688838,1,243,150,3,-10,38850
3688944,1,243,150,3,-10,38850
3689048,1,243,150,3,-10,38850
3689164,1,243,150,3,-10,38850
3689331,1,243,150,3,-10,38850
3689452,1,243,150,3,-10,38850
3689564,1,243,150,3,-10,38850
3689664,1,243,150,3,-10,38850
3689764,1,243,150,3,-10,38850
3689864,1,243,150,3,-10,38850
3689966,1,243,150,3,-10,38850
3690083,1,243,150,3,-10,38850
3690187,1,243,150,3,-10,38850
3690298,1,243,150,3,-10,38850
3690414,1,243,150,3,-10,38850
3690530,1,243,150,3,-10,38850
3690633,1,243,150,3,-10,38850
3690748,1,243,150,3,-10,38850
3690939,1,243,150,3,-10,38850
3691045,1,243,150,3,-10,38850
3691150,1,243,150,3,-10,38850
3691263,1,243,150,3,-10,38850
3691363,1,243,150,3,-10,38850
3691463,1,243,150,3,-10,38850
3691563,1,243,150,3,-10,38850
3691663,1,243,150,3,-10,38850
3691796,1,243,150,3,-10,38850
3691896,1,243,150,3,-10,38850
3691999,1,243,150,3,-10,38850
3692115,1,243,150,3,-10,38850
3692219,1,243,149,3,-11,39025
3692325,1,243,150,3,-10,38850
3692429,1,243,150,3,-10,38850
3692529,1,243,150,3,-10,38850
3692696,1,243,150,3,-10,38850
3692798,1,243,149,3,-11,39025
3692903,1,243,149,3,-11,39025
3693029,1,243,149,3,-11,39025
3693129,1,243,149,3,-11,39025
3693229,1,243,149,3,-11,39025
3693329,1,243,149,3,-11,39025
3693429,1,243,149,3,-11,39025
3693534,1,243,149,3,-11,39025
3693662,1,243,149,3,-11,39025
3693762,1,243,149,3,-11,39025
3693868,1,243,149,3,-11,39025
3693975,1,243,149,3,-11,39025
3694078,1,243,149,3,-11,39025
3694233,1,243,149,3,-11,39025
3694363,1,243,149,3,-11,39025
3694495,1,243,149,3,-11,39025
3694595,1,243,149,3,-11,39025
3694696,1,243,149,3,-11,39025
3694812,1,243,149,3,-11,39025
3694928,1,243,149,3,-11,39025
3695028,1,243,149,3,-11,39025
3695128,1,243,149,3,-11,39025
3695228,1,243,149,3,-11,39025
3695328,1,243,149,3,-11,39025
3695428,1,243,149,3,-11,39025
3695528,1,243,149,3,-11,39025
3695628,1,243,149,3,-11,39025
3695730,1,243,149,3,-11,39025
3695861,1,243,149,3,-11,39025
3696028,1,243,149,3,-11,39025
3696128,1,243,149,3,-11,39025
3696228,1,243,149,3,-11,39025
3696328,1,243,149,3,-11,39025
3696428,1,243,149,3,-11,39025
3696531,1,243,149,3,-11,39025
3696635,1,243,149,3,-11,39025
3696761,1,243,149,3,-11,39025
3696861,1,243,149,3,-11,39025
3696966,1,243,149,3,-11,39025
3697096,1,243,149,3,-11,39025
3697227,1,243,149,3,-11,39025
3697327,1,243,149,3,-11,39025
3697430,1,243,149,3,-11,39025
3697560,1,243,149,3,-11,39025
3697660,1,243,149,3,-11,39025
3697794,1,243,149,3,-11,39025
3697896,1,243,149,3,-11,39025
3698008,1,243,149,3,-11,39025
3698108,1,243,149,3,-11,39025
3698227,1,243,149,3,-11,39025
3698327,1,243,149,3,-11,39025
3698428,1,243,149,3,-11,39025
3698544,1,243,149,3,-11,39025
3698660,1,243,149,3,-11,39025
3698761,1,243,149,3,-11,39025
3698874,1,243,149,3,-11,39025
3698993,1,243,149,3,-11,39025
3699094,1,243,149,3,-11,39025
3699210,1,243,149,3,-11,39025
3699315,1,243,149,3,-11,39025
3699469,1,243,149,3,-11,39025
3699574,1,243,149,3,-11,39025
3699676,1,243,149,3,-11,39025
3699794,1,243,149,3,-11,39025
3699926,1,243,149,3,-11,39025
3700026,1,243,149,3,-11,39025
3700127,1,243,149,3,-11,39025
3700244,1,243,149,3,-11,39025
3700359,1,243,149,3,-11,39025
3700460,1,243,149,3,-11,39025
3700593,1,243,149,3,-11,39025
3700693,1,243,149,3,-11,39025
