time_ms,valid,cx,cy,error_x,error_y,area,command_x_rpm,command_y_rpm,frame_ms
1124610,1,224,152,-16,-8,37856,0.0,0.0,34
1125178,1,224,145,-16,-15,37856,0.0,0.0,247
1125308,1,224,141,-16,-19,38080,0.0,0.0,35
1125408,1,224,142,-16,-18,37856,0.0,0.0,14
1125509,1,224,143,-16,-17,37856,0.0,0.0,14
1125609,1,224,143,-16,-17,37856,5.0,0.0,15
1125741,1,224,143,-16,-17,37856,0.0,0.0,37
1125841,1,224,144,-16,-16,37910,0.0,0.0,25
1125953,1,224,145,-16,-15,37856,0.0,0.0,14
1126074,1,224,144,-16,-16,37800,0.0,0.0,19
1126174,1,223,145,-17,-15,37856,-5.0,0.0,39
1126274,1,207,144,-33,-16,36736,-5.0,0.0,13
1126374,1,202,144,-38,-16,36450,0.0,0.0,13
1126481,1,204,144,-36,-16,36512,0.0,0.0,24
1126584,1,204,144,-36,-16,36512,0.0,0.0,16
1126707,1,203,145,-37,-15,36512,0.0,0.0,17
1126807,1,203,145,-37,-15,36349,0.0,0.0,30
1126907,1,203,145,-37,-15,36512,0.0,0.0,33
1127007,1,203,145,-37,-15,36512,0.0,0.0,13
1127144,1,203,145,-37,-15,36512,0.0,0.0,14
1127253,1,212,145,-28,-15,36960,5.0,0.0,18
1127374,1,231,145,-9,-15,38304,0.0,0.0,30
1127479,1,234,145,-6,-15,38304,0.0,0.0,23
1127584,1,234,144,-6,-16,38752,0.0,0.0,17
1127687,1,235,145,-5,-15,38528,0.0,0.0,14
1127807,1,235,144,-5,-16,38752,-5.0,0.0,43
1127907,1,235,144,-5,-16,38700,-5.0,0.0,34
1128009,1,235,143,-5,-17,38700,0.0,0.0,12
1128127,1,234,143,-6,-17,38925,0.0,0.0,26
1128230,1,234,143,-6,-17,38925,0.0,0.0,21
1128342,1,235,143,-5,-17,38700,0.0,0.0,12
1128473,1,234,143,-6,-17,38528,1.19,0.0,42
1128577,1,238,143,-2,-17,39150,1.0,0.0,19
1128687,1,240,143,0,-17,39375,0.0,0.0,17
1128794,1,240,143,0,-17,39375,0.0,0.0,15
1128940,1,240,143,0,-17,39375,0.0,0.0,15
1129040,1,240,143,0,-17,39375,0.0,0.0,12
1129140,1,240,143,0,-17,39375,8.0,0.0,28
1129245,1,256,142,16,-18,40275,6.81,0.0,18
1129373,1,287,138,47,-22,44080,2.76,0.0,49
1129473,1,295,137,55,-23,45435,-9.51,0.0,39
1129573,1,259,141,19,-19,40906,-6.21,0.0,33
1129675,1,236,142,-4,-18,38976,-1.0,0.0,27
1129783,1,234,142,-6,-18,38528,1.02,0.0,22
1129896,1,236,142,-4,-18,38752,1.0,0.0,20
1130006,1,241,143,1,-17,38976,0.0,0.0,27
1130106,1,239,142,-1,-18,39200,-8.2,0.0,32
1130206,1,216,142,-24,-18,37241,-5.9,0.0,17
1130306,1,191,143,-49,-17,35616,6.07,0.0,26
