time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_L,300,0,87,0,342,0,213,0,2
40,STEP_L,300,0,255,0,208,0,45,0,11
60,STEP_L,300,0,342,0,139,0,-42,0,23
80,STEP_L,300,0,304,0,169,0,-4,0,34
100,STEP_L,300,0,290,0,180,0,10,0,44
120,STEP_L,300,0,300,0,172,0,0,0,55
140,STEP_L,300,0,334,0,145,0,-34,0,65
160,STEP_L,300,0,292,0,178,0,8,0,76
180,STEP_L,300,0,301,0,172,0,-1,0,87
200,STEP_L,300,0,290,0,180,0,10,0,97
220,STEP_L,300,0,300,0,172,0,0,0,108
240,STEP_L,300,0,334,0,144,0,-34,0,118
260,STEP_L,300,0,292,0,177,0,8,0,129
280,STEP_L,300,0,333,0,145,0,-33,0,140
300,STEP_L,300,0,336,0,143,0,-36,0,150
320,STEP_L,300,0,292,0,177,0,8,0,161
340,STEP_L,300,0,290,0,179,0,10,0,171
360,STEP_L,300,0,300,0,171,0,0,0,182
380,STEP_L,300,0,334,0,144,0,-34,0,193
400,STEP_L,300,0,292,0,177,0,8,0,203
420,STEP_L,300,0,301,0,171,0,-1,0,214
440,STEP_L,300,0,290,0,179,0,10,0,224
460,STEP_L,300,0,300,0,171,0,0,0,235
480,STEP_L,300,0,334,0,144,0,-34,0,245
500,STEP_L,300,0,292,0,177,0,8,0,256
520,STEP_L,300,0,333,0,145,0,-33,0,266
540,STEP_L,300,0,292,0,177,0,8,0,277
560,STEP_L,300,0,301,0,171,0,-1,0,288
580,STEP_L,300,0,290,0,179,0,10,0,298
600,STEP_L,300,0,300,0,171,0,0,0,309
620,STEP_L,300,0,334,0,144,0,-34,0,319
640,STEP_L,300,0,292,0,177,0,8,0,330
660,STEP_L,300,0,301,0,171,0,-1,0,340
680,STEP_L,300,0,290,0,179,0,10,0,351
700,STEP_L,300,0,300,0,171,0,0,0,362
720,STEP_L,300,0,290,0,179,0,10,0,372
740,STEP_L,300,0,300,0,171,0,0,0,383
760,STEP_L,300,0,301,0,171,0,-1,0,393
780,STEP_L,300,0,290,0,179,0,10,0,404
800,STEP_L,300,0,333,0,145,0,-33,0,415
820,STEP_L,300,0,336,0,143,0,-36,0,425
840,STEP_L,300,0,292,0,177,0,8,0,436
860,STEP_L,300,0,333,0,145,0,-33,0,446
880,STEP_L,300,0,292,0,177,0,8,0,457
900,STEP_L,300,0,333,0,145,0,-33,0,467
920,STEP_L,300,0,292,0,177,0,8,0,478
940,STEP_L,300,0,301,0,171,0,-1,0,489
960,STEP_L,300,0,334,0,144,0,-34,0,499
980,STEP_L,300,0,292,0,177,0,8,0,510
1000,STEP_L,300,0,333,0,145,0,-33,0,520
1020,STEP_L,300,0,292,0,177,0,8,0,531
1040,STEP_L,300,0,333,0,145,0,-33,0,542
1060,STEP_L,300,0,336,0,143,0,-36,0,552
1080,STEP_L,300,0,292,0,177,0,8,0,563
1100,STEP_L,300,0,290,0,179,0,10,0,573
1120,STEP_L,300,0,300,0,171,0,0,0,584
1140,STEP_L,300,0,301,0,171,0,-1,0,595
1160,STEP_L,300,0,290,0,179,0,10,0,605
1180,STEP_L,300,0,300,0,171,0,0,0,616
1200,STEP_L,300,0,290,0,179,0,10,0,626
1220,STEP_L,300,0,300,0,171,0,0,0,637
1240,STEP_L,300,0,334,0,144,0,-34,0,648
1260,STEP_L,300,0,292,0,177,0,8,0,658
1280,STEP_L,300,0,301,0,171,0,-1,0,669
1300,STEP_L,300,0,290,0,179,0,10,0,679
1320,STEP_L,300,0,300,0,171,0,0,0,690
1340,STEP_L,300,0,334,0,144,0,-34,0,700
1360,STEP_L,300,0,292,0,177,0,8,0,711
1380,STEP_L,300,0,333,0,145,0,-33,0,721
1400,STEP_L,300,0,292,0,177,0,8,0,732
