time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_L,300,0,43,0,299,0,257,0,1
40,STEP_L,300,0,252,0,195,0,48,0,9
60,STEP_L,300,0,287,0,177,0,13,0,19
80,STEP_L,300,0,332,0,155,0,-32,0,30
100,STEP_L,300,0,334,0,154,0,-34,0,41
120,STEP_L,300,0,292,0,175,0,8,0,51
140,STEP_L,300,0,333,0,155,0,-33,0,62
160,STEP_L,300,0,292,0,175,0,8,0,73
180,STEP_L,300,0,301,0,171,0,-1,0,83
200,STEP_L,300,0,334,0,154,0,-34,0,94
220,STEP_L,300,0,292,0,175,0,8,0,105
240,STEP_L,300,0,301,0,171,0,-1,0,115
260,STEP_L,300,0,334,0,154,0,-34,0,126
280,STEP_L,300,0,292,0,175,0,8,0,136
300,STEP_L,300,0,333,0,155,0,-33,0,147
320,STEP_L,300,0,292,0,175,0,8,0,158
340,STEP_L,300,0,301,0,171,0,-1,0,168
360,STEP_L,300,0,334,0,154,0,-34,0,179
380,STEP_L,300,0,292,0,175,0,8,0,189
400,STEP_L,300,0,301,0,171,0,-1,0,200
420,STEP_L,300,0,290,0,176,0,10,0,211
440,STEP_L,300,0,300,0,171,0,0,0,221
460,STEP_L,300,0,334,0,154,0,-34,0,232
480,STEP_L,300,0,292,0,175,0,8,0,243
500,STEP_L,300,0,301,0,171,0,-1,0,253
520,STEP_L,300,0,334,0,154,0,-34,0,264
540,STEP_L,300,0,292,0,175,0,8,0,274
560,STEP_L,300,0,333,0,155,0,-33,0,285
580,STEP_L,300,0,336,0,153,0,-36,0,296
600,STEP_L,300,0,292,0,175,0,8,0,306
620,STEP_L,300,0,333,0,155,0,-33,0,317
640,STEP_L,300,0,292,0,175,0,8,0,328
660,STEP_L,300,0,301,0,171,0,-1,0,338
680,STEP_L,300,0,334,0,154,0,-34,0,349
700,STEP_L,300,0,292,0,175,0,8,0,359
720,STEP_L,300,0,334,0,154,0,-34,0,370
740,STEP_L,300,0,290,0,176,0,10,0,381
760,STEP_L,300,0,300,0,171,0,0,0,391
780,STEP_L,300,0,334,0,154,0,-34,0,402
800,STEP_L,300,0,292,0,175,0,8,0,413
820,STEP_L,300,0,334,0,154,0,-34,0,423
840,STEP_L,300,0,334,0,154,0,-34,0,434
860,STEP_L,300,0,292,0,175,0,8,0,444
880,STEP_L,300,0,333,0,155,0,-33,0,455
900,STEP_L,300,0,292,0,175,0,8,0,466
920,STEP_L,300,0,301,0,171,0,-1,0,476
940,STEP_L,300,0,334,0,154,0,-34,0,487
960,STEP_L,300,0,292,0,175,0,8,0,498
980,STEP_L,300,0,301,0,171,0,-1,0,508
1000,STEP_L,300,0,334,0,154,0,-34,0,519
1020,STEP_L,300,0,292,0,175,0,8,0,529
1040,STEP_L,300,0,333,0,155,0,-33,0,540
1060,STEP_L,300,0,336,0,153,0,-36,0,551
1080,STEP_L,300,0,292,0,175,0,8,0,561
1100,STEP_L,300,0,333,0,155,0,-33,0,572
1120,STEP_L,300,0,292,0,175,0,8,0,583
1140,STEP_L,300,0,301,0,171,0,-1,0,593
1160,STEP_L,300,0,334,0,154,0,-34,0,604
1180,STEP_L,300,0,292,0,175,0,8,0,614
1200,STEP_L,300,0,301,0,171,0,-1,0,625
1220,STEP_L,300,0,334,0,154,0,-34,0,636
1240,STEP_L,300,0,292,0,175,0,8,0,646
1260,STEP_L,300,0,301,0,171,0,-1,0,657
1280,STEP_L,300,0,290,0,176,0,10,0,668
1300,STEP_L,300,0,300,0,171,0,0,0,678
1320,STEP_L,300,0,334,0,154,0,-34,0,689
1340,STEP_L,300,0,292,0,175,0,8,0,700
1360,STEP_L,300,0,301,0,171,0,-1,0,710
1380,STEP_L,300,0,334,0,154,0,-34,0,721
1400,STEP_L,300,0,292,0,175,0,8,0,732
1420,STEP_L,300,0,301,0,171,0,-1,0,742
1440,STEP_L,300,0,334,0,154,0,-34,0,753
1460,STEP_L,300,0,292,0,175,0,8,0,763
1480,STEP_L,300,0,333,0,155,0,-33,0,774
1500,STEP_L,300,0,336,0,153,0,-36,0,785
1520,STEP_L,300,0,292,0,175,0,8,0,795
1540,STEP_L,300,0,333,0,155,0,-33,0,806
1560,STEP_L,300,0,292,0,175,0,8,0,817
1580,STEP_L,300,0,301,0,171,0,-1,0,827
1600,STEP_L,300,0,334,0,154,0,-34,0,838
1620,STEP_L,300,0,292,0,175,0,8,0,849
1640,STEP_L,300,0,334,0,154,0,-34,0,859
1660,STEP_L,300,0,334,0,154,0,-34,0,870
1680,STEP_L,300,0,292,0,175,0,8,0,880
1700,STEP_L,300,0,301,0,171,0,-1,0,891
1720,STEP_L,300,0,290,0,176,0,10,0,902
1740,STEP_L,300,0,300,0,171,0,0,0,912
1760,STEP_L,300,0,334,0,154,0,-34,0,923
1780,STEP_L,300,0,292,0,175,0,8,0,934
