time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_R,0,300,0,43,0,253,0,257,-1
40,STEP_R,0,300,0,198,0,199,0,102,-7
60,STEP_R,0,300,0,284,0,169,0,16,-17
80,STEP_R,0,300,0,289,0,167,0,11,-27
100,STEP_R,0,300,0,289,0,167,0,11,-38
120,STEP_R,0,300,0,300,0,164,0,0,-48
140,STEP_R,0,300,0,334,0,153,0,-34,-59
160,STEP_R,0,300,0,292,0,166,0,8,-70
180,STEP_R,0,300,0,301,0,164,0,-1,-80
200,STEP_R,0,300,0,334,0,153,0,-34,-91
220,STEP_R,0,300,0,292,0,166,0,8,-101
240,STEP_R,0,300,0,333,0,153,0,-33,-112
260,STEP_R,0,300,0,292,0,166,0,8,-122
280,STEP_R,0,300,0,301,0,164,0,-1,-133
300,STEP_R,0,300,0,290,0,167,0,10,-144
320,STEP_R,0,300,0,300,0,164,0,0,-154
340,STEP_R,0,300,0,334,0,153,0,-34,-165
360,STEP_R,0,300,0,292,0,166,0,8,-175
380,STEP_R,0,300,0,301,0,164,0,-1,-186
400,STEP_R,0,300,0,290,0,167,0,10,-197
420,STEP_R,0,300,0,300,0,164,0,0,-207
440,STEP_R,0,300,0,334,0,153,0,-34,-218
460,STEP_R,0,300,0,292,0,166,0,8,-228
480,STEP_R,0,300,0,301,0,164,0,-1,-239
500,STEP_R,0,300,0,334,0,153,0,-34,-250
520,STEP_R,0,300,0,292,0,166,0,8,-260
540,STEP_R,0,300,0,333,0,153,0,-33,-271
560,STEP_R,0,300,0,292,0,166,0,8,-281
580,STEP_R,0,300,0,301,0,164,0,-1,-292
600,STEP_R,0,300,0,292,0,166,0,8,-303
620,STEP_R,0,300,0,292,0,166,0,8,-313
640,STEP_R,0,300,0,333,0,153,0,-33,-324
660,STEP_R,0,300,0,292,0,166,0,8,-335
680,STEP_R,0,300,0,301,0,164,0,-1,-345
700,STEP_R,0,300,0,334,0,153,0,-34,-356
720,STEP_R,0,300,0,292,0,166,0,8,-366
740,STEP_R,0,300,0,333,0,153,0,-33,-377
760,STEP_R,0,300,0,292,0,166,0,8,-388
780,STEP_R,0,300,0,301,0,164,0,-1,-398
800,STEP_R,0,300,0,334,0,153,0,-34,-409
820,STEP_R,0,300,0,292,0,166,0,8,-420
840,STEP_R,0,300,0,301,0,164,0,-1,-430
860,STEP_R,0,300,0,290,0,167,0,10,-441
880,STEP_R,0,300,0,300,0,164,0,0,-451
900,STEP_R,0,300,0,334,0,153,0,-34,-462
920,STEP_R,0,300,0,292,0,166,0,8,-473
940,STEP_R,0,300,0,301,0,164,0,-1,-483
960,STEP_R,0,300,0,334,0,153,0,-34,-494
980,STEP_R,0,300,0,292,0,166,0,8,-504
1000,STEP_R,0,300,0,333,0,153,0,-33,-515
1020,STEP_R,0,300,0,292,0,166,0,8,-526
