time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff
20,STEP_R,0,300,0,43,0,292,0,257,-2
40,STEP_R,0,300,0,252,0,188,0,48,-10
60,STEP_R,0,300,0,287,0,170,0,13,-21
80,STEP_R,0,300,0,333,0,148,0,-33,-31
100,STEP_R,0,300,0,292,0,168,0,8,-42
120,STEP_R,0,300,0,301,0,164,0,-1,-52
140,STEP_R,0,300,0,290,0,169,0,10,-63
160,STEP_R,0,300,0,300,0,164,0,0,-74
180,STEP_R,0,300,0,334,0,147,0,-34,-84
200,STEP_R,0,300,0,292,0,168,0,8,-95
220,STEP_R,0,300,0,333,0,148,0,-33,-105
240,STEP_R,0,300,0,292,0,168,0,8,-116
260,STEP_R,0,300,0,333,0,148,0,-33,-127
280,STEP_R,0,300,0,292,0,168,0,8,-137
300,STEP_R,0,300,0,301,0,164,0,-1,-148
320,STEP_R,0,300,0,290,0,169,0,10,-158
340,STEP_R,0,300,0,300,0,164,0,0,-169
360,STEP_R,0,300,0,334,0,147,0,-34,-179
380,STEP_R,0,300,0,292,0,168,0,8,-190
400,STEP_R,0,300,0,333,0,148,0,-33,-201
420,STEP_R,0,300,0,292,0,168,0,8,-211
440,STEP_R,0,300,0,301,0,164,0,-1,-222
460,STEP_R,0,300,0,290,0,169,0,10,-232
480,STEP_R,0,300,0,300,0,164,0,0,-243
500,STEP_R,0,300,0,334,0,147,0,-34,-253
520,STEP_R,0,300,0,292,0,168,0,8,-264
540,STEP_R,0,300,0,333,0,148,0,-33,-274
560,STEP_R,0,300,0,292,0,168,0,8,-285
580,STEP_R,0,300,0,301,0,164,0,-1,-296
600,STEP_R,0,300,0,290,0,169,0,10,-306
620,STEP_R,0,300,0,300,0,164,0,0,-317
640,STEP_R,0,300,0,290,0,169,0,10,-327
660,STEP_R,0,300,0,300,0,164,0,0,-338
680,STEP_R,0,300,0,334,0,147,0,-34,-349
700,STEP_R,0,300,0,292,0,168,0,8,-359
720,STEP_R,0,300,0,301,0,164,0,-1,-370
740,STEP_R,0,300,0,290,0,169,0,10,-380
760,STEP_R,0,300,0,300,0,164,0,0,-391
780,STEP_R,0,300,0,290,0,169,0,10,-401
800,STEP_R,0,300,0,300,0,164,0,0,-412
820,STEP_R,0,300,0,334,0,147,0,-34,-422
840,STEP_R,0,300,0,292,0,168,0,8,-433
860,STEP_R,0,300,0,333,0,148,0,-33,-443
880,STEP_R,0,300,0,292,0,168,0,8,-454
900,STEP_R,0,300,0,333,0,148,0,-33,-465
920,STEP_R,0,300,0,292,0,168,0,8,-475
940,STEP_R,0,300,0,301,0,164,0,-1,-486
960,STEP_R,0,300,0,290,0,169,0,10,-496
980,STEP_R,0,300,0,300,0,164,0,0,-507
1000,STEP_R,0,300,0,334,0,147,0,-34,-517
1020,STEP_R,0,300,0,292,0,168,0,8,-528
1040,STEP_R,0,300,0,333,0,148,0,-33,-539
1060,STEP_R,0,300,0,292,0,168,0,8,-549
1080,STEP_R,0,300,0,301,0,164,0,-1,-560
1100,STEP_R,0,300,0,290,0,169,0,10,-570
1120,STEP_R,0,300,0,300,0,164,0,0,-581
1140,STEP_R,0,300,0,334,0,147,0,-34,-591
1160,STEP_R,0,300,0,292,0,168,0,8,-602
1180,STEP_R,0,300,0,333,0,148,0,-33,-612
1200,STEP_R,0,300,0,292,0,168,0,8,-623
1220,STEP_R,0,300,0,333,0,148,0,-33,-634
1240,STEP_R,0,300,0,292,0,168,0,8,-644
1260,STEP_R,0,300,0,301,0,164,0,-1,-655
1280,STEP_R,0,300,0,290,0,169,0,10,-665
1300,STEP_R,0,300,0,300,0,164,0,0,-676
1320,STEP_R,0,300,0,334,0,147,0,-34,-686
1340,STEP_R,0,300,0,292,0,168,0,8,-697
1360,STEP_R,0,300,0,333,0,148,0,-33,-708
1380,STEP_R,0,300,0,292,0,168,0,8,-718
1400,STEP_R,0,300,0,301,0,164,0,-1,-729
1420,STEP_R,0,300,0,290,0,169,0,10,-739
1440,STEP_R,0,300,0,300,0,164,0,0,-750
1460,STEP_R,0,300,0,334,0,147,0,-34,-760
1480,STEP_R,0,300,0,292,0,168,0,8,-771
1500,STEP_R,0,300,0,333,0,148,0,-33,-781
1520,STEP_R,0,300,0,292,0,168,0,8,-792
1540,STEP_R,0,300,0,301,0,164,0,-1,-803
1560,STEP_R,0,300,0,290,0,169,0,10,-813
1580,STEP_R,0,300,0,300,0,164,0,0,-824
1600,STEP_R,0,300,0,334,0,147,0,-34,-834
1620,STEP_R,0,300,0,292,0,168,0,8,-845
1640,STEP_R,0,300,0,333,0,148,0,-33,-855
1660,STEP_R,0,300,0,292,0,168,0,8,-866
1680,STEP_R,0,300,0,333,0,148,0,-33,-877
1700,STEP_R,0,300,0,292,0,168,0,8,-887
1720,STEP_R,0,300,0,301,0,164,0,-1,-898
1740,STEP_R,0,300,0,334,0,147,0,-34,-908
1760,STEP_R,0,300,0,292,0,168,0,8,-919
1780,STEP_R,0,300,0,333,0,148,0,-33,-929
