time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
1060,SQUARE,183,113,105,127,0,0,0,0,0,6,48,1,76,0,0,0
1080,SQUARE,183,113,115,160,0,0,0,0,0,6,48,1,77,0,0,0
1100,SQUARE,183,113,115,118,0,0,0,0,0,6,48,1,78,0,0,0
1120,SQUARE,183,113,115,127,0,0,0,0,0,6,48,1,79,0,0,0
1140,SQUARE,183,113,115,116,0,0,0,0,0,6,48,1,79,0,0,0
1160,SQUARE,183,113,105,126,0,0,0,0,0,6,48,1,80,0,0,0
1180,SQUARE,183,113,115,116,0,0,0,0,0,6,48,1,81,0,0,0
1200,SQUARE,183,113,115,126,0,0,0,0,0,6,48,1,81,0,0,0
1220,SQUARE,183,113,105,116,0,0,0,0,0,6,48,1,81,0,0,0
1240,SQUARE,183,113,115,159,0,0,0,0,0,6,48,1,81,0,0,0
1260,SQUARE,183,113,115,118,0,0,0,0,0,6,48,1,80,0,0,0
1280,SQUARE,183,113,115,116,0,0,0,0,0,6,48,1,79,0,0,0
1300,SQUARE,183,113,115,116,0,0,0,0,0,6,48,1,78,0,0,0
1320,SQUARE,183,113,115,105,0,0,0,0,0,6,48,1,78,0,0,0
1340,SQUARE,183,113,105,115,0,0,0,0,0,6,48,1,77,0,0,0
1360,SQUARE,182,106,115,115,0,0,0,0,0,11,32,1,77,0,0,0
1380,SQUARE,182,106,115,115,0,0,0,0,0,11,32,1,76,0,0,0
1400,SQUARE,183,105,115,115,0,0,0,0,0,11,32,1,75,0,0,0
1420,SQUARE,183,105,115,72,0,0,0,0,0,11,32,1,74,0,0,0
1440,SQUARE,184,104,115,113,0,0,0,0,0,11,32,1,73,0,0,0
1460,SQUARE,184,104,115,115,0,0,0,0,0,11,32,1,72,0,0,0
1480,SQUARE,184,104,115,72,0,0,0,0,0,11,32,1,71,0,0,0
1500,SQUARE,199,89,115,113,0,0,0,0,0,23,96,1,69,0,0,0
1520,SQUARE,201,87,115,115,0,0,0,0,0,23,96,1,68,0,0,0
1540,SQUARE,201,87,105,105,0,0,0,0,0,23,96,1,67,0,0,0
1560,SQUARE,186,102,158,104,0,0,0,0,0,23,96,1,65,0,0,0
1580,SQUARE,187,101,162,115,0,0,0,0,0,23,96,1,64,0,0,0
1600,SQUARE,187,101,173,159,0,0,0,0,0,23,96,1,62,0,0,0
1620,SQUARE,187,101,86,129,0,0,0,0,0,23,96,1,59,0,0,0
1650,SQUARE,187,101,157,73,0,0,0,0,0,23,96,1,56,0,0,0
1671,SQUARE,187,101,194,145,0,0,0,0,0,23,96,1,51,0,0,0
1691,SQUARE,187,101,120,106,0,0,0,0,0,23,96,1,48,0,0,0
1711,SQUARE,187,101,159,115,0,0,0,0,0,23,96,1,45,0,0,0
1731,SQUARE,187,101,162,105,0,0,0,0,0,23,96,1,42,0,0,0
1751,SQUARE,187,101,118,115,0,0,0,0,0,23,96,1,39,0,0,0
1771,SQUARE,187,101,159,105,0,0,0,0,0,23,96,1,37,0,0,0
1791,SQUARE,187,101,118,115,0,0,0,0,0,23,96,1,34,0,0,0
1811,SQUARE,187,101,127,72,0,0,0,0,0,23,96,1,31,0,0,0
1831,SQUARE,187,101,160,113,0,0,0,0,0,23,96,1,29,0,0,0
1851,SQUARE,187,101,162,115,0,0,0,0,0,23,96,1,25,0,0,0
1871,SQUARE,187,101,118,105,0,0,0,0,0,23,96,1,23,0,0,0
1891,SQUARE,187,101,127,71,0,0,0,0,0,23,96,1,20,0,0,0
1911,SQUARE,187,101,160,113,0,0,0,0,0,23,96,1,17,0,0,0
1931,SQUARE,187,101,118,72,0,0,0,0,0,23,96,1,15,0,0,0
1951,SQUARE,187,101,127,113,0,0,0,0,0,23,96,1,12,0,0,0
1971,SQUARE,187,101,160,72,0,0,0,0,0,23,96,1,10,0,0,0
1991,SQUARE,187,101,118,113,0,0,0,0,0,23,96,1,7,0,0,0
2011,SQUARE,187,101,127,115,0,0,0,0,0,23,96,1,4,0,0,0
2031,SQUARE,187,101,127,105,0,0,0,0,0,23,96,1,2,0,0,0
2051,SQUARE,187,101,116,115,0,0,0,0,0,23,96,1,-1,0,0,0
2071,SQUARE,187,101,159,105,0,0,0,0,0,23,96,1,-3,0,0,0
2091,SQUARE,187,101,118,71,0,0,0,0,0,23,96,1,-4,0,0,0
2111,SQUARE,187,101,159,113,0,0,0,0,0,23,96,1,-7,0,0,0
2131,SQUARE,187,101,118,104,0,0,0,0,0,23,96,1,-9,0,0,0
2151,SQUARE,187,101,116,71,0,0,0,0,0,23,96,1,-11,0,0,0
2171,SQUARE,187,101,126,113,0,0,0,0,0,23,96,1,-14,0,0,0
2191,SQUARE,187,101,160,104,0,0,0,0,0,23,96,1,-16,0,0,0
2211,SQUARE,187,101,118,104,0,0,0,0,0,23,96,1,-19,0,0,0
2231,SQUARE,187,101,159,115,0,0,0,0,0,23,96,1,-22,0,0,0
2251,SQUARE,187,101,118,105,0,0,0,0,0,23,96,1,-24,0,0,0
2271,SQUARE,187,101,127,71,0,0,0,0,0,23,96,1,-27,0,0,0
2291,SQUARE,187,101,160,113,0,0,0,0,0,23,96,1,-30,0,0,0
2311,SQUARE,187,101,118,72,0,0,0,0,0,23,96,1,-32,0,0,0
2331,SQUARE,187,101,127,113,0,0,0,0,0,23,96,1,-34,0,0,0
2351,SQUARE,187,101,160,104,0,0,0,0,0,23,96,1,-37,0,0,0
2371,SQUARE,187,101,118,71,0,0,0,0,0,23,96,1,-39,0,0,0
2391,SQUARE,187,101,127,113,0,0,0,0,0,23,96,1,-41,0,0,0
2411,SQUARE,187,101,127,72,0,0,0,0,0,23,96,1,-44,0,0,0
2431,SQUARE,187,101,160,113,0,0,0,0,0,23,96,1,-46,0,0,0
2451,SQUARE,187,101,162,72,0,0,0,0,0,23,96,1,-48,0,0,0
2471,SQUARE,187,101,162,113,0,0,0,0,0,23,96,1,-51,0,0,0
2491,SQUARE,187,101,118,72,0,0,0,0,0,23,96,1,-54,0,0,0
2511,SQUARE,187,101,127,113,0,0,0,0,0,23,96,1,-56,0,0,0
2531,SQUARE,186,102,127,72,0,0,0,0,0,11,32,1,-59,0,0,0
2551,SQUARE,185,103,127,113,0,0,0,0,0,11,32,1,-61,0,0,0
2571,SQUARE,184,104,127,115,0,0,0,0,0,11,32,1,-63,0,0,0
2591,SQUARE,184,104,160,105,0,0,0,0,0,11,32,1,-66,0,0,0
2611,SQUARE,184,104,162,115,0,0,0,0,0,11,32,1,-68,0,0,0
2631,SQUARE,184,104,162,72,0,0,0,0,0,11,32,1,-70,0,0,0
2651,SQUARE,184,104,162,113,0,0,0,0,0,11,32,1,-72,0,0,0
2671,SQUARE,184,104,118,115,0,0,0,0,0,11,32,1,-75,0,0,0
2691,SQUARE,183,105,127,105,0,0,0,0,0,6,48,1,-77,0,0,0
2711,SQUARE,182,106,127,115,0,0,0,0,0,6,48,1,-80,0,0,0
2731,SQUARE,182,110,127,72,0,0,0,0,0,6,48,1,-83,0,0,0
2751,SQUARE,182,110,127,113,0,0,0,0,0,6,48,1,-85,0,0,0
2771,SQUARE,183,113,127,115,0,0,0,0,0,6,48,1,-87,0,0,0
2791,SQUARE,183,113,171,105,0,0,0,0,0,6,48,1,-89,0,0,0
2811,SQUARE,183,113,162,115,0,0,0,0,0,6,48,1,-91,0,0,0
