time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
2940,SQUARE,120,120,173,130,0,0,0,0,0,0,24,1,-33,0,0,0
2960,SQUARE,120,120,130,171,0,0,0,0,0,0,24,1,-34,0,0,0
2980,SQUARE,120,120,171,173,0,0,0,0,0,0,24,1,-34,0,0,0
3000,SQUARE,120,120,130,163,0,0,0,0,0,0,24,1,-35,0,0,0
3020,SQUARE,120,120,171,173,0,0,0,0,0,0,24,1,-36,0,0,0
3040,SQUARE,120,120,130,163,0,0,0,0,0,0,24,1,-36,0,0,0
3060,SQUARE,120,120,171,173,0,0,0,0,0,0,24,1,-37,0,0,0
3080,SQUARE,120,120,130,163,0,0,0,0,0,0,24,1,-37,0,0,0
3100,SQUARE,120,120,171,173,0,0,0,0,0,0,24,1,-38,0,0,0
3120,SQUARE,120,120,130,130,0,0,0,0,0,0,24,1,-39,0,0,0
3140,SQUARE,120,120,171,127,0,0,0,0,0,0,24,1,-41,0,0,0
3160,SQUARE,120,120,130,171,0,0,0,0,0,0,24,1,-42,0,0,0
3180,SQUARE,120,120,171,130,0,0,0,0,0,0,24,1,-42,0,0,0
3200,SQUARE,120,120,162,171,0,0,0,0,0,0,24,1,-43,0,0,0
3220,SQUARE,120,120,173,162,0,0,0,0,0,0,24,1,-43,0,0,0
3240,SQUARE,120,120,163,129,0,0,0,0,0,0,24,1,-44,0,0,0
3260,SQUARE,120,120,162,171,0,0,0,0,0,0,24,1,-44,0,0,0
3280,SQUARE,120,120,173,162,0,0,0,0,0,0,24,1,-45,0,0,0
3300,SQUARE,120,120,163,162,0,0,0,0,0,0,24,1,-46,0,0,0
3320,SQUARE,120,120,129,173,0,0,0,0,0,0,24,1,-47,0,0,0
3340,SQUARE,120,120,171,163,0,0,0,0,0,0,24,1,-48,0,0,0
3360,SQUARE,120,120,162,129,0,0,0,0,0,0,24,1,-49,0,0,0
3380,SQUARE,120,120,129,127,0,0,0,0,0,0,24,1,-50,0,0,0
3400,SQUARE,120,120,127,171,0,0,0,0,0,0,24,1,-50,0,0,0
3420,SQUARE,120,120,171,130,0,0,0,0,0,0,24,1,-50,0,0,0
3440,SQUARE,120,120,162,127,0,0,0,0,0,0,24,1,-50,0,0,0
3460,SQUARE,120,120,129,127,0,0,0,0,0,0,24,1,-52,0,0,0
3480,SQUARE,120,120,127,171,0,0,0,0,0,0,24,1,-53,0,0,0
3500,SQUARE,120,120,171,162,0,0,0,0,0,0,24,1,-53,0,0,0
3520,SQUARE,120,120,162,129,0,0,0,0,0,0,24,1,-54,0,0,0
3540,SQUARE,120,120,129,171,0,0,0,0,0,0,24,1,-55,0,0,0
3560,SQUARE,120,120,171,162,0,0,0,0,0,0,24,1,-56,0,0,0
3580,SQUARE,120,120,162,129,0,0,0,0,0,0,24,1,-56,0,0,0
3600,SQUARE,120,120,162,127,0,0,0,0,0,0,24,1,-57,0,0,0
3620,SQUARE,120,120,129,171,0,0,0,0,0,0,24,1,-58,0,0,0
3640,SQUARE,120,120,127,162,0,0,0,0,0,0,24,1,-59,0,0,0
3660,SQUARE,120,120,171,129,0,0,0,0,0,0,24,1,-59,0,0,0
3680,SQUARE,125,115,162,171,0,0,0,0,0,3,56,1,-60,0,0,0
3700,SQUARE,125,115,162,162,0,0,0,0,0,-3,58,1,-61,0,0,0
3720,SQUARE,125,115,129,162,0,0,0,0,0,0,62,0,-62,0,0,0
3740,SQUARE,115,125,127,129,0,0,0,0,0,-3,58,1,-62,0,0,0
3760,SQUARE,117,123,127,171,0,0,0,0,0,0,24,1,-63,0,0,0
3780,SQUARE,120,120,127,162,0,0,0,0,0,0,24,1,-64,0,0,0
3800,SQUARE,120,120,127,162,0,0,0,0,0,0,24,1,-65,0,0,0
3820,SQUARE,120,120,171,162,0,0,0,0,0,0,24,1,-65,0,0,0
3840,SQUARE,120,120,162,162,0,0,0,0,0,0,24,1,-66,0,0,0
3860,SQUARE,120,120,162,129,0,0,0,0,0,0,24,1,-67,0,0,0
3880,SQUARE,120,120,129,171,0,0,0,0,0,0,24,1,-68,0,0,0
3900,SQUARE,120,120,127,162,0,0,0,0,0,0,24,1,-69,0,0,0
3920,SQUARE,120,120,171,162,0,0,0,0,0,0,24,1,-70,0,0,0
3940,SQUARE,120,120,162,162,0,0,0,0,0,0,24,1,-71,0,0,0
3960,SQUARE,120,120,162,129,0,0,0,0,0,0,24,1,-72,0,0,0
3980,SQUARE,120,120,162,127,0,0,0,0,0,0,24,1,-74,0,0,0
4000,SQUARE,120,120,162,160,0,0,0,0,0,0,24,1,-75,0,0,0
4020,SQUARE,120,120,129,162,0,0,0,0,0,0,24,1,-76,0,0,0
4040,SQUARE,120,120,127,162,0,0,0,0,0,0,24,1,-77,0,0,0
4060,SQUARE,120,120,171,162,0,0,0,0,0,0,24,1,-78,0,0,0
4080,SQUARE,120,120,162,162,0,0,0,0,0,0,24,1,-79,0,0,0
4100,SQUARE,120,120,162,162,0,0,0,0,0,0,24,1,-81,0,0,0
4120,SQUARE,120,120,129,162,0,0,0,0,0,0,24,1,-82,0,0,0
