time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
1413,SQUARE,171,57,173,126,0,0,0,0,0,11,32,1,25,0,0,0
1433,SQUARE,171,57,173,116,0,0,0,0,0,11,32,1,22,0,0,0
1453,SQUARE,171,57,173,126,0,0,0,0,0,11,32,1,17,0,0,0
1473,SQUARE,171,57,173,160,0,0,0,0,0,11,32,1,14,0,0,0
1493,SQUARE,171,57,184,118,0,0,0,0,0,11,32,1,10,0,0,0
1513,SQUARE,171,57,174,116,0,0,0,0,0,11,32,1,5,0,0,0
1533,SQUARE,171,57,184,116,0,0,0,0,0,11,32,1,0,0,0,0
1553,SQUARE,171,57,218,126,0,0,0,0,0,11,32,1,-5,0,0,0
1573,SQUARE,171,57,176,116,0,0,0,0,0,11,32,1,-11,0,0,0
1593,SQUARE,171,57,185,116,0,0,0,0,0,11,32,1,-16,0,0,0
1613,SQUARE,171,57,218,116,0,0,0,0,0,11,32,1,-19,0,0,0
1633,SQUARE,171,57,220,116,0,0,0,0,0,11,32,1,-26,0,0,0
1653,SQUARE,171,57,220,159,0,0,0,0,0,11,32,1,-32,0,0,0
1673,SQUARE,171,57,220,75,0,0,0,0,0,11,32,1,-40,0,0,0
1693,SQUARE,167,73,220,156,0,0,0,0,0,6,48,1,-46,0,0,0
1713,SQUARE,167,73,220,118,0,0,0,0,0,6,48,1,-52,0,0,0
1733,SQUARE,167,73,220,105,0,0,0,0,0,6,48,1,-58,0,0,0
1753,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-63,0,0,0
1773,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-68,0,0,0
1793,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-71,0,0,0
1813,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-76,0,0,0
1833,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-81,0,0,0
1853,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-86,0,0,0
1873,SQUARE,167,73,187,115,0,0,0,0,0,6,48,1,-94,0,0,0
1893,SQUARE,167,73,174,115,0,0,0,0,0,6,48,1,-97,0,0,0
1913,SQUARE,167,73,184,72,0,0,0,0,0,6,48,1,-101,0,0,0
1933,SQUARE,167,73,185,156,0,0,0,0,0,6,48,1,-106,0,0,0
1953,SQUARE,167,73,185,118,0,0,0,0,0,6,48,1,-110,0,0,0
1973,SQUARE,167,73,185,72,0,0,0,0,0,6,48,1,-113,0,0,0
1993,SQUARE,167,73,229,113,0,0,0,0,0,6,48,1,-119,0,0,0
2013,SQUARE,167,73,220,115,0,0,0,0,0,6,48,1,-121,0,0,0
2033,SQUARE,147,93,220,115,0,0,0,0,0,0,24,1,-125,0,0,0
2053,SQUARE,127,113,220,115,0,0,0,0,0,0,24,1,-130,0,0,0
2073,SQUARE,120,120,187,126,0,0,0,0,0,0,24,1,-135,0,0,0
2093,SQUARE,120,120,218,116,0,0,0,0,0,0,24,1,-140,0,0,0
2113,SQUARE,120,120,220,126,0,0,0,0,0,0,24,1,-143,0,0,0
2133,SQUARE,120,120,176,116,0,0,0,0,0,0,24,1,-146,0,0,0
2153,SQUARE,120,120,185,126,0,0,0,0,0,0,24,1,-148,0,0,0
2173,SQUARE,115,125,174,160,0,0,0,0,0,-3,28,1,-150,0,0,0
2193,SQUARE,105,135,217,118,0,0,0,0,0,-3,28,1,-152,0,0,0
2213,SQUARE,94,146,176,127,0,0,0,0,0,-6,12,1,-153,0,0,0
2233,SQUARE,78,162,174,127,0,0,0,0,0,-6,12,1,-155,0,0,0
2253,SQUARE,73,167,174,127,0,0,0,0,0,-6,12,1,-156,0,0,0
2273,SQUARE,73,167,174,171,0,0,0,0,0,-6,12,1,-156,0,0,0
2293,SQUARE,73,167,130,130,0,0,0,0,0,-6,12,1,-155,0,0,0
2313,SQUARE,73,167,171,182,0,0,0,0,0,-6,12,1,-152,0,0,0
2333,SQUARE,73,167,173,174,0,0,0,0,0,-6,12,1,-150,0,0,0
2353,SQUARE,73,167,163,174,0,0,0,0,0,-6,12,1,-148,0,0,0
2373,SQUARE,57,171,173,174,0,0,0,0,0,-11,4,1,-145,0,0,0
2393,SQUARE,29,171,163,217,0,0,0,0,0,-18,6,1,-142,0,0,0
