time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
3560,SQUARE,171,57,174,71,0,0,0,0,0,11,32,1,-46,0,0,0
3580,SQUARE,171,57,184,113,0,0,0,0,0,11,32,1,-53,0,0,0
3600,SQUARE,171,57,174,104,0,0,0,0,0,11,32,1,-60,0,0,0
3620,SQUARE,171,57,217,113,0,0,0,0,0,11,32,1,-67,0,0,0
3640,SQUARE,171,57,218,69,0,0,0,0,0,11,32,1,-75,0,0,0
3660,SQUARE,171,57,176,69,0,0,0,0,0,11,32,1,-82,0,0,0
3680,SQUARE,171,57,185,69,0,0,0,0,0,11,32,1,-89,0,0,0
3700,SQUARE,171,57,218,69,0,0,0,0,0,11,32,1,-97,0,0,0
3720,SQUARE,171,57,220,102,0,0,0,0,0,11,32,1,-104,0,0,0
3740,SQUARE,171,57,220,60,0,0,0,0,0,11,32,1,-111,0,0,0
3760,SQUARE,167,73,176,69,0,0,0,0,0,6,48,1,-118,0,0,0
3780,SQUARE,167,73,217,102,0,0,0,0,0,6,48,1,-124,0,0,0
3800,SQUARE,167,73,187,60,0,0,0,0,0,6,48,1,-132,0,0,0
3820,SQUARE,167,73,218,69,0,0,0,0,0,6,48,1,-138,0,0,0
3840,SQUARE,167,73,220,69,0,0,0,0,0,6,48,1,-141,0,0,0
3860,SQUARE,167,73,187,102,0,0,0,0,0,6,48,1,-145,0,0,0
3880,SQUARE,167,73,185,104,0,0,0,0,0,6,48,1,-150,0,0,0
3900,SQUARE,167,73,185,60,0,0,0,0,0,6,48,1,-154,0,0,0
3920,SQUARE,167,73,185,69,0,0,0,0,0,6,48,1,-163,0,0,0
3940,SQUARE,167,73,185,69,0,0,0,0,0,6,48,1,-170,0,0,0
3960,SQUARE,157,83,185,69,0,0,0,0,0,2,16,1,-178,0,0,0
3980,SQUARE,137,103,185,102,0,0,0,0,0,2,16,1,-186,0,0,0
4000,SQUARE,132,108,185,71,0,0,0,0,0,2,16,1,-197,0,0,0
4020,SQUARE,122,118,185,69,0,0,0,0,0,0,24,1,-203,0,0,0
4040,SQUARE,120,120,218,69,0,0,0,0,0,0,24,1,-209,0,0,0
4060,SQUARE,120,120,176,113,0,0,0,0,0,0,24,1,-214,0,0,0
4080,SQUARE,120,120,174,72,0,0,0,0,0,0,24,1,-218,0,0,0
4100,SQUARE,120,120,174,105,0,0,0,0,0,0,24,1,-222,0,0,0
4120,SQUARE,120,120,176,115,0,0,0,0,0,0,24,1,-225,0,0,0
4140,SQUARE,120,120,217,105,0,0,0,0,0,0,24,1,-228,0,0,0
4160,SQUARE,115,125,176,115,0,0,0,0,0,-3,28,1,-231,0,0,0
4180,SQUARE,120,120,174,115,0,0,0,0,0,0,60,1,-234,0,0,0
4200,SQUARE,112,128,184,115,0,0,0,0,0,-6,12,1,-237,0,0,0
4220,SQUARE,96,144,174,115,0,0,0,0,0,-6,12,1,-242,0,0,0
4240,SQUARE,80,160,174,115,0,0,0,0,0,-6,12,1,-244,0,0,0
4260,SQUARE,73,167,174,159,0,0,0,0,0,-6,12,1,-245,0,0,0
4280,SQUARE,57,171,130,118,0,0,0,0,0,-11,4,1,-247,0,0,0
4300,SQUARE,57,171,127,159,0,0,0,0,0,-11,4,1,-248,0,0,0
4320,SQUARE,57,171,127,162,0,0,0,0,0,-11,4,1,-248,0,0,0
4340,SQUARE,57,171,162,127,0,0,0,0,0,-11,4,1,-247,0,0,0
4360,SQUARE,29,171,119,162,0,0,0,0,0,-18,6,1,-246,0,0,0
4380,SQUARE,29,171,127,129,0,0,0,0,0,-18,6,1,-243,0,0,0
4400,SQUARE,29,171,160,171,0,0,0,0,0,-18,6,1,-240,0,0,0
4420,SQUARE,29,171,118,173,0,0,0,0,0,-18,6,1,-236,0,0,0
4440,SQUARE,29,171,116,163,0,0,0,0,0,-18,6,1,-229,0,0,0
4460,SQUARE,29,171,116,173,0,0,0,0,0,-18,6,1,-224,0,0,0
4480,SQUARE,29,171,116,173,0,0,0,0,0,-18,6,1,-218,0,0,0
4500,SQUARE,29,171,72,173,0,0,0,0,0,-18,6,1,-212,0,0,0
4520,SQUARE,29,171,115,217,0,0,0,0,0,-18,6,1,-206,0,0,0
4540,SQUARE,29,171,115,176,0,0,0,0,0,-18,6,1,-200,0,0,0
4560,SQUARE,29,171,72,174,0,0,0,0,0,-18,6,1,-194,0,0,0
4580,SQUARE,29,171,115,174,0,0,0,0,0,-18,6,1,-187,0,0,0
