time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
67246,SQUARE,301,259,245,275,179,124,56,-16,-2056,3,56,1,0,15,0,44
67266,SQUARE,301,259,287,234,155,147,14,25,-2055,3,56,1,0,15,0,44
67286,SQUARE,301,259,246,275,178,124,55,-16,-2054,3,56,1,0,15,0,44
67306,SQUARE,301,259,287,234,155,147,14,25,-2053,3,56,1,0,15,0,44
67326,SQUARE,273,287,289,275,128,148,-16,12,-2052,0,24,1,0,15,0,44
67346,SQUARE,280,280,279,234,140,166,1,46,-2051,0,24,1,0,15,0,44
67366,SQUARE,280,280,278,243,141,161,2,37,-2051,0,24,1,0,15,0,44
67386,SQUARE,280,280,278,276,141,142,2,4,-2051,0,24,1,0,15,0,44
67406,SQUARE,265,295,245,278,146,154,20,17,-2050,-2,8,1,0,15,0,44
67426,SQUARE,222,338,243,278,108,193,-21,60,-2051,-6,12,1,0,15,0,44
67446,SQUARE,222,338,232,245,115,212,-10,93,-2052,-6,12,1,0,15,0,44
67466,SQUARE,222,338,232,287,115,188,-10,51,-2054,-6,12,1,0,15,0,44
67486,SQUARE,222,338,232,289,115,187,-10,49,-2057,-6,12,1,0,15,0,44
67506,SQUARE,222,338,232,333,115,161,-10,5,-2059,-6,12,1,0,15,0,44
67526,SQUARE,222,338,221,292,120,185,1,46,-2062,-6,12,1,0,15,0,44
67546,SQUARE,222,338,231,290,115,186,-9,48,-2064,-6,12,1,0,15,0,44
67566,SQUARE,277,283,221,333,171,112,56,-50,-2068,-6,12,1,0,15,0,44
67586,SQUARE,331,229,242,281,208,92,89,-52,-2068,-2,8,1,0,15,0,44
67606,SQUARE,321,239,232,245,205,123,89,-6,-2069,-2,8,1,0,15,0,44
67626,SQUARE,321,239,275,243,180,124,46,-4,-2069,-2,8,1,0,15,0,44
67646,SQUARE,321,239,245,243,198,124,76,-4,-2069,-2,8,1,0,15,0,44
67666,SQUARE,321,239,243,232,199,130,78,7,-2068,-2,8,1,0,15,0,44
67686,SQUARE,321,239,287,242,173,125,34,-3,-2067,-2,8,1,0,15,0,44
67706,SQUARE,274,286,289,232,130,173,-15,54,-2065,-6,12,1,0,15,0,44
67726,SQUARE,277,283,279,275,138,145,-2,8,-2065,-6,12,1,0,15,0,44
67746,SQUARE,277,283,245,278,157,143,32,5,-2065,-6,12,1,0,15,0,44
67766,SQUARE,277,283,243,245,158,163,34,38,-2065,-6,12,1,0,15,0,44
67786,SQUARE,277,283,276,232,139,170,1,51,-2065,-6,12,1,0,15,0,44
67806,SQUARE,277,283,278,286,139,140,-1,-3,-2065,-6,12,1,0,15,0,44
67826,SQUARE,277,283,278,278,139,143,-1,5,-2065,-6,12,1,0,15,0,44
67846,SQUARE,277,283,234,278,163,143,43,5,-2065,-6,12,1,0,15,0,44
67866,SQUARE,222,338,243,278,108,193,-21,60,-2066,-6,12,1,0,15,0,44
67886,SQUARE,222,338,232,289,115,187,-10,49,-2068,-6,12,1,0,15,0,44
67906,SQUARE,120,440,188,289,46,281,-68,151,-2071,-12,14,1,0,15,0,44
67926,SQUARE,120,440,185,289,48,281,-65,151,-2075,0,47,0,0,15,0,44
67946,SQUARE,120,440,142,344,73,249,-22,96,-2081,0,127,0,0,15,0,44
67966,SQUARE,120,440,172,347,55,247,-52,93,-2088,0,127,0,0,15,0,44
67986,SQUARE,281,279,163,391,208,75,118,-112,-2096,-3,58,1,0,15,0,44
68006,SQUARE,287,273,205,307,189,118,82,-34,-2100,0,24,1,0,15,0,44
68026,SQUARE,280,280,230,291,169,134,50,-11,-2103,0,24,1,0,15,0,44
68046,SQUARE,280,280,177,300,199,129,103,-20,-2106,0,24,1,0,15,0,44
68066,SQUARE,280,280,185,290,195,135,95,-10,-2109,0,24,1,0,15,0,44
68086,SQUARE,280,280,185,246,195,159,95,34,-2112,0,24,1,0,15,0,44
68106,SQUARE,294,266,229,287,181,123,65,-21,-2113,2,16,1,0,15,0,44
68126,SQUARE,294,266,231,278,180,129,63,-12,-2114,2,16,1,0,15,0,44
68146,SQUARE,338,222,231,234,221,114,107,-12,-2114,6,48,1,0,15,0,44
68166,SQUARE,338,222,242,199,214,133,96,23,-2112,6,48,1,0,15,0,44
68186,SQUARE,338,222,287,229,188,116,51,-7,-2111,6,48,1,0,15,0,44
68206,SQUARE,338,222,278,231,193,115,60,-9,-2110,6,48,1,0,15,0,44
68226,SQUARE,338,222,289,231,187,115,49,-9,-2108,6,48,1,0,15,0,44
68246,SQUARE,338,222,246,231,212,115,92,-9,-2106,6,48,1,0,15,0,44
68266,SQUARE,283,277,330,188,114,190,-47,89,-2103,6,48,1,0,15,0,44
68286,SQUARE,283,277,249,229,160,166,34,48,-2101,6,48,1,0,15,0,44
68306,SQUARE,283,277,287,242,139,159,-4,35,-2101,6,48,1,0,15,0,44
68326,SQUARE,283,277,278,232,143,165,5,45,-2100,6,48,1,0,15,0,44
68346,SQUARE,283,277,245,232,163,165,38,45,-2099,6,48,1,0,15,0,44
68366,SQUARE,283,277,243,232,164,165,40,45,-2098,6,48,1,0,15,0,44
68386,SQUARE,283,277,287,242,139,159,-4,35,-2097,6,48,1,0,15,0,44
68406,SQUARE,283,277,278,243,143,158,5,34,-2097,6,48,1,0,15,0,44
68426,SQUARE,283,277,278,276,143,139,5,1,-2097,6,48,1,0,15,0,44
68446,SQUARE,283,277,278,278,143,139,5,-1,-2097,6,48,1,0,15,0,44
68466,SQUARE,283,277,278,234,143,163,5,43,-2097,6,48,1,0,15,0,44
68486,SQUARE,283,277,278,243,143,158,5,34,-2096,6,48,1,0,15,0,44
68506,SQUARE,283,277,278,243,143,158,5,34,-2096,6,48,1,0,15,0,44
68526,SQUARE,283,277,278,243,143,158,5,34,-2096,6,48,1,0,15,0,44
68546,SQUARE,283,277,278,243,143,158,5,34,-2096,6,48,1,0,15,0,44
68566,SQUARE,440,120,245,243,307,14,195,-123,-2096,11,32,1,0,15,0,44
68586,SQUARE,440,120,330,178,257,52,110,-58,-2091,11,32,1,0,15,0,44
68606,SQUARE,440,120,336,174,254,54,104,-54,-2086,11,32,1,0,15,0,44
68626,SQUARE,440,120,336,174,254,54,104,-54,-2080,11,32,1,0,15,0,44
68646,SQUARE,325,235,347,130,143,184,-22,105,-2073,6,48,1,0,15,0,44
68666,SQUARE,338,222,347,171,154,149,-9,51,-2068,6,48,1,0,15,0,44
68686,SQUARE,338,222,293,228,185,117,45,-6,-2065,6,48,1,0,15,0,44
68706,SQUARE,338,222,344,133,156,171,-6,89,-2059,6,48,1,0,15,0,44
68726,SQUARE,338,222,336,182,160,143,2,40,-2055,6,48,1,0,15,0,44
68746,SQUARE,338,222,336,174,160,147,2,48,-2050,6,48,1,0,15,0,44
68766,SQUARE,338,222,336,217,160,122,2,5,-2046,6,48,1,0,15,0,44
68786,SQUARE,338,222,292,220,185,121,46,2,-2042,6,48,1,0,15,0,44
68806,SQUARE,338,222,290,220,186,121,48,2,-2039,6,48,1,0,15,0,44
68826,SQUARE,338,222,300,220,181,121,38,2,-2035,6,48,1,0,15,0,44
68846,SQUARE,275,285,301,220,123,178,-26,65,-2032,0,24,1,0,15,0,44
68866,SQUARE,280,280,290,187,135,193,-10,93,-2029,0,24,1,0,15,0,44
68886,SQUARE,280,280,279,229,140,169,1,51,-2028,0,24,1,0,15,0,44
68906,SQUARE,280,280,289,275,135,142,-9,5,-2026,0,24,1,0,15,0,44
68926,SQUARE,280,280,289,234,135,166,-9,46,-2025,0,24,1,0,15,0,44
68946,SQUARE,280,280,246,275,159,142,34,5,-2024,0,24,1,0,15,0,44
68966,SQUARE,280,280,287,234,136,166,-7,46,-2023,0,24,1,0,15,0,44
68986,SQUARE,280,280,278,243,141,161,2,37,-2023,0,24,1,0,15,0,44
69006,SQUARE,259,301,278,243,122,180,-19,58,-2023,-3,28,1,0,15,0,44
69026,SQUARE,220,340,278,276,86,197,-58,64,-2023,-6,12,1,0,15,0,44
69046,SQUARE,222,338,234,289,114,187,-12,49,-2025,-6,12,1,0,15,0,44
69066,SQUARE,222,338,232,289,115,187,-10,49,-2027,-6,12,1,0,15,0,44
69086,SQUARE,222,338,221,289,120,187,1,49,-2030,-6,12,1,0,15,0,44
69106,SQUARE,222,338,198,289,133,187,24,49,-2032,-6,12,1,0,15,0,44
69126,SQUARE,222,338,229,333,116,161,-7,5,-2035,-6,12,1,0,15,0,44
69146,SQUARE,222,338,188,292,139,185,34,46,-2038,-6,12,1,0,15,0,44
69166,SQUARE,222,338,229,333,116,161,-7,5,-2041,-6,12,1,0,15,0,44
69186,SQUARE,222,338,220,292,121,185,2,46,-2045,-6,12,1,0,15,0,44
69206,SQUARE,222,338,231,301,115,180,-9,37,-2048,-6,12,1,0,15,0,44
69226,SQUARE,222,338,221,301,120,180,1,37,-2051,-6,12,1,0,15,0,44
