time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
60346,SQUARE,222,338,221,289,120,187,1,49,-1732,-6,12,1,0,13,0,58
60366,SQUARE,222,338,231,300,115,181,-9,38,-1734,-6,12,1,0,13,0,58
60386,SQUARE,222,338,188,290,139,186,34,48,-1738,-6,12,1,0,13,0,58
60406,SQUARE,222,338,229,300,116,181,-7,38,-1740,-6,12,1,0,13,0,58
60426,SQUARE,222,338,220,334,121,161,2,4,-1744,-6,12,1,0,13,0,58
60446,SQUARE,222,338,187,292,140,185,35,46,-1748,-6,12,1,0,13,0,58
60466,SQUARE,289,271,185,301,203,120,104,-30,-1752,-2,8,1,0,13,0,58
60486,SQUARE,266,294,229,290,156,146,37,4,-1753,-2,8,1,0,13,0,58
60506,SQUARE,266,294,188,290,180,146,78,4,-1756,-2,8,1,0,13,0,58
60526,SQUARE,266,294,229,322,156,128,37,-28,-1758,-2,8,1,0,13,0,58
60546,SQUARE,266,294,231,292,155,145,35,2,-1760,-2,8,1,0,13,0,58
60566,SQUARE,266,294,231,246,155,171,35,48,-1762,-2,8,1,0,13,0,58
60586,SQUARE,266,294,231,287,155,148,35,7,-1764,-2,8,1,0,13,0,58
60606,SQUARE,266,294,231,289,155,146,35,5,-1765,-2,8,1,0,13,0,58
60626,SQUARE,292,268,275,289,153,124,17,-21,-1766,0,24,1,0,13,0,58
60646,SQUARE,280,280,234,246,166,159,46,34,-1767,0,24,1,0,13,0,58
60666,SQUARE,280,280,232,287,167,136,48,-7,-1769,0,24,1,0,13,0,58
60686,SQUARE,280,280,275,278,142,141,5,2,-1769,0,24,1,0,13,0,58
60706,SQUARE,335,225,234,245,216,110,101,-20,-1771,0,24,1,0,13,0,58
60726,SQUARE,335,225,243,243,211,111,92,-18,-1769,0,24,1,0,13,0,58
60746,SQUARE,335,225,287,276,185,92,48,-51,-1769,0,24,1,0,13,0,58
60766,SQUARE,335,225,278,191,191,140,57,34,-1766,0,24,1,0,13,0,58
60786,SQUARE,335,225,289,272,184,94,46,-47,-1765,0,24,1,0,13,0,58
60806,SQUARE,335,225,289,191,184,140,46,34,-1762,0,24,1,0,13,0,58
60826,SQUARE,335,225,289,229,184,119,46,-4,-1760,0,24,1,0,13,0,58
60846,SQUARE,335,225,300,188,178,142,35,37,-1757,0,24,1,0,13,0,58
60866,SQUARE,335,225,290,229,184,119,45,-4,-1755,0,24,1,0,13,0,58
60886,SQUARE,335,225,290,231,184,118,45,-6,-1752,0,24,1,0,13,0,58
60906,SQUARE,335,225,333,221,159,123,2,4,-1749,0,24,1,0,13,0,58
60926,SQUARE,335,225,292,231,182,118,43,-6,-1747,0,24,1,0,13,0,58
60946,SQUARE,335,225,290,188,184,142,45,37,-1743,0,24,1,0,13,0,58
60966,SQUARE,318,242,300,229,163,134,18,13,-1741,-2,8,1,0,13,0,58
60986,SQUARE,321,239,290,220,171,137,31,19,-1738,-2,8,1,0,13,0,58
61006,SQUARE,266,294,290,231,122,180,-24,63,-1735,-2,8,1,0,13,0,58
61026,SQUARE,266,294,290,231,122,180,-24,63,-1734,-2,8,1,0,13,0,58
61046,SQUARE,222,338,235,231,113,221,-13,107,-1734,-6,12,1,0,13,0,58
61066,SQUARE,222,338,243,242,108,214,-21,96,-1735,-6,12,1,0,13,0,58
61086,SQUARE,222,338,232,287,115,188,-10,51,-1736,-6,12,1,0,13,0,58
61106,SQUARE,222,338,232,289,115,187,-10,49,-1738,-6,12,1,0,13,0,58
61126,SQUARE,222,338,232,289,115,187,-10,49,-1740,-6,12,1,0,13,0,58
61146,SQUARE,222,338,232,289,115,187,-10,49,-1742,-6,12,1,0,13,0,58
61166,SQUARE,222,338,221,289,120,187,1,49,-1745,-6,12,1,0,13,0,58
61186,SQUARE,222,338,231,289,115,187,-9,49,-1749,-6,12,1,0,13,0,58
61206,SQUARE,234,326,221,333,131,151,13,-7,-1752,-2,8,1,0,13,0,58
61226,SQUARE,211,349,220,303,111,189,-9,46,-1755,-2,8,1,0,13,0,58
61246,SQUARE,161,399,220,334,65,217,-59,65,-1759,-6,12,1,0,13,0,58
61766,SQUARE,294,266,57,160,281,196,237,106,-1853,2,16,1,24,14,0,69
61786,SQUARE,294,266,144,205,231,170,150,61,-1856,2,16,1,24,14,0,69
61806,SQUARE,294,266,172,186,214,181,122,80,-1856,2,16,1,24,14,0,69
61826,SQUARE,294,266,173,174,214,188,121,92,-1856,2,16,1,24,14,0,69
61846,SQUARE,294,266,184,228,207,157,110,38,-1857,2,16,1,24,14,0,69
61866,SQUARE,294,266,218,264,188,136,76,2,-1858,2,16,1,24,14,0,69
61886,SQUARE,294,266,231,234,180,153,63,32,-1858,2,16,1,24,14,0,69
61906,SQUARE,294,266,231,232,180,154,63,34,-1858,2,16,1,24,14,0,69
61926,SQUARE,294,266,231,275,180,130,63,-9,-1859,2,16,1,24,14,0,69
61946,SQUARE,294,266,242,278,174,129,52,-12,-1859,2,16,1,24,14,0,69
61966,SQUARE,268,292,276,278,132,152,-8,14,-1859,0,24,1,24,14,0,69
61986,SQUARE,280,280,234,278,166,141,46,2,-1860,0,24,1,24,14,0,69
62006,SQUARE,280,280,275,278,142,141,5,2,-1860,0,24,1,24,14,0,69
62026,SQUARE,280,280,234,245,166,160,46,35,-1861,0,24,1,24,14,0,69
62046,SQUARE,280,280,243,287,161,136,37,-7,-1862,0,24,1,24,14,0,69
62066,SQUARE,280,280,243,278,161,141,37,2,-1862,0,24,1,24,14,0,69
62086,SQUARE,280,280,276,245,142,160,4,35,-1863,0,24,1,24,14,0,69
62106,SQUARE,280,280,234,243,166,161,46,37,-1864,0,24,1,24,14,0,69
62126,SQUARE,266,294,243,287,148,148,23,7,-1864,-2,8,1,24,14,0,69
62146,SQUARE,266,294,276,278,130,153,-10,16,-1864,-2,8,1,24,14,0,69
62166,SQUARE,266,294,234,245,153,172,32,49,-1866,-2,8,1,24,14,0,69
62186,SQUARE,266,294,243,287,148,148,23,7,-1866,-2,8,1,24,14,0,69
62206,SQUARE,266,294,232,289,154,146,34,5,-1867,-2,8,1,24,14,0,69
62226,SQUARE,266,294,242,279,148,152,24,15,-1868,-2,8,1,24,14,0,69
62246,SQUARE,266,294,276,289,130,146,-10,5,-1869,-2,8,1,24,14,0,69
62266,SQUARE,266,294,234,279,153,152,32,15,-1870,-2,8,1,24,14,0,69
62286,SQUARE,266,294,232,289,154,146,34,5,-1871,-2,8,1,24,14,0,69
62306,SQUARE,266,294,242,279,148,152,24,15,-1872,-2,8,1,24,14,0,69
62326,SQUARE,266,294,232,289,154,146,34,5,-1874,-2,8,1,24,14,0,69
62346,SQUARE,266,294,242,279,148,152,24,15,-1874,-2,8,1,24,14,0,69
62366,SQUARE,266,294,232,245,154,172,34,49,-1876,-2,8,1,24,14,0,69
62386,SQUARE,266,294,232,287,154,148,34,7,-1877,-2,8,1,24,14,0,69
62406,SQUARE,266,294,242,289,148,146,24,5,-1878,-2,8,1,24,14,0,69
62426,SQUARE,266,294,232,279,154,152,34,15,-1880,-2,8,1,24,14,0,69
