time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
8681,SQUARE,267,293,231,246,155,171,36,47,-95,-2,8,1,284,1,0,86
8701,SQUARE,280,280,231,287,168,136,49,-7,-98,0,24,1,284,1,0,86
8721,SQUARE,280,280,231,289,168,135,49,-9,-100,0,24,1,284,1,0,86
8741,SQUARE,280,280,231,289,168,135,49,-9,-101,0,24,1,284,1,0,86
8761,SQUARE,280,280,231,289,168,135,49,-9,-103,0,24,1,284,1,0,86
8781,SQUARE,280,280,242,279,162,140,38,1,-103,0,24,1,284,1,0,86
8801,SQUARE,280,280,232,289,167,135,48,-9,-105,0,24,1,284,1,0,86
8821,SQUARE,280,280,242,279,162,140,38,1,-105,0,24,1,284,1,0,86
8841,SQUARE,280,280,276,245,142,160,4,35,-106,0,24,1,284,1,0,86
8861,SQUARE,280,280,234,287,166,136,46,-7,-107,0,24,1,284,1,0,86
8881,SQUARE,293,267,243,246,173,147,50,21,-107,2,16,1,284,1,0,86
8901,SQUARE,293,267,243,243,173,148,50,24,-107,2,16,1,284,1,0,86
8921,SQUARE,293,267,276,243,153,148,17,24,-107,2,16,1,284,1,0,86
8941,SQUARE,293,267,245,276,171,130,48,-9,-107,2,16,1,284,1,0,86
8961,SQUARE,293,267,243,245,173,147,50,22,-107,2,16,1,284,1,0,86
8981,SQUARE,334,226,243,276,210,92,91,-50,-107,6,48,1,284,1,0,86
9001,SQUARE,334,226,287,234,185,117,47,-8,-105,6,48,1,284,1,0,86
9021,SQUARE,280,280,278,232,141,167,2,48,-104,0,62,0,284,1,0,86
9561,SQUARE,293,267,60,162,279,195,233,105,-171,2,16,1,1,2,0,73
9581,SQUARE,293,267,166,216,217,164,127,51,-172,2,16,1,1,2,0,73
9601,SQUARE,293,267,217,176,188,187,76,91,-171,2,16,1,1,2,0,73
9621,SQUARE,293,267,220,185,186,182,73,82,-171,2,16,1,1,2,0,73
9641,SQUARE,293,267,176,229,211,157,117,38,-173,2,16,1,1,2,0,73
9661,SQUARE,334,226,185,231,244,119,149,-5,-174,6,48,1,1,2,0,73
9681,SQUARE,293,267,229,231,181,155,64,36,-174,2,16,1,1,2,0,73
9701,SQUARE,293,267,231,231,179,155,62,36,-174,2,16,1,1,2,0,73
9721,SQUARE,293,267,275,275,154,131,18,-8,-174,2,16,1,1,2,0,73
9741,SQUARE,334,226,234,234,216,117,100,-8,-174,6,48,1,1,2,0,73
9761,SQUARE,334,226,286,232,185,118,48,-6,-172,6,48,1,1,2,0,73
9781,SQUARE,334,226,278,232,190,118,56,-6,-171,6,48,1,1,2,0,73
9801,SQUARE,334,226,289,275,184,93,45,-49,-170,6,48,1,1,2,0,73
9821,SQUARE,334,226,289,234,184,117,45,-8,-168,6,48,1,1,2,0,73
9841,SQUARE,293,267,289,232,146,155,4,35,-166,2,16,1,1,2,0,73
9861,SQUARE,293,267,289,232,146,155,4,35,-164,2,16,1,1,2,0,73
9881,SQUARE,293,267,246,275,171,131,47,-8,-163,2,16,1,1,2,0,73
9901,SQUARE,293,267,287,234,147,154,6,33,-162,2,16,1,1,2,0,73
9921,SQUARE,293,267,246,232,171,155,47,35,-160,2,16,1,1,2,0,73
9941,SQUARE,293,267,287,242,147,149,6,25,-160,2,16,1,1,2,0,73
9961,SQUARE,293,267,246,232,171,155,47,35,-159,2,16,1,1,2,0,73
9981,SQUARE,293,267,287,275,147,131,6,-8,-158,2,16,1,1,2,0,73
10001,SQUARE,293,267,278,278,152,129,15,-11,-158,2,16,1,1,2,0,73
10021,SQUARE,293,267,245,234,171,154,48,33,-156,2,16,1,1,2,0,73
10041,SQUARE,293,267,287,275,147,131,6,-8,-156,2,16,1,1,2,0,73
10061,SQUARE,293,267,289,234,146,154,4,33,-154,2,16,1,1,2,0,73
10081,SQUARE,293,267,279,243,152,148,14,24,-154,2,16,1,1,2,0,73
10101,SQUARE,293,267,289,276,146,130,4,-9,-153,2,16,1,1,2,0,73
10121,SQUARE,280,280,279,234,140,166,1,46,-153,0,24,1,1,2,0,73
10141,SQUARE,280,280,245,243,160,161,35,37,-153,0,24,1,1,2,0,73
10161,SQUARE,280,280,243,243,161,161,37,37,-151,0,24,1,1,2,0,73
10181,SQUARE,280,280,287,243,136,161,-7,37,-151,0,24,1,1,2,0,73
10201,SQUARE,280,280,278,243,141,161,2,37,-151,0,24,1,1,2,0,73
10221,SQUARE,225,335,278,243,91,211,-53,92,-151,0,24,1,1,2,0,73
10241,SQUARE,225,335,234,243,116,211,-9,92,-153,0,24,1,1,2,0,73
10261,SQUARE,225,335,232,287,117,185,-7,48,-155,0,24,1,1,2,0,73
10281,SQUARE,225,335,232,289,117,184,-7,46,-157,0,24,1,1,2,0,73
10301,SQUARE,212,348,232,333,106,171,-20,15,-159,-2,8,1,1,2,0,73
10321,SQUARE,225,335,188,292,142,182,37,43,-162,0,24,1,1,2,0,73
10341,SQUARE,225,335,229,290,119,184,-4,45,-165,0,24,1,1,2,0,73
10361,SQUARE,225,335,231,300,118,178,-6,35,-168,0,24,1,1,2,0,73
10381,SQUARE,225,335,188,334,142,158,37,1,-171,0,24,1,1,2,0,73
10401,SQUARE,225,335,229,292,119,182,-4,43,-174,0,24,1,1,2,0,73
10421,SQUARE,225,335,188,301,142,177,37,34,-177,0,24,1,1,2,0,73
10441,SQUARE,225,335,229,334,119,158,-4,1,-180,0,24,1,1,2,0,73
10461,SQUARE,225,335,220,292,123,182,5,43,-184,0,24,1,1,2,0,73
10481,SQUARE,225,335,220,301,123,177,5,34,-187,0,24,1,1,2,0,73
10501,SQUARE,238,322,220,334,135,148,18,-12,-191,2,16,1,1,2,0,73
10521,SQUARE,293,267,187,292,205,121,106,-25,-194,2,16,1,1,2,0,73
10541,SQUARE,293,267,229,290,181,122,64,-23,-196,2,16,1,1,2,0,73
10561,SQUARE,293,267,231,246,179,147,62,21,-198,2,16,1,1,2,0,73
10581,SQUARE,293,267,275,287,154,124,18,-20,-198,2,16,1,1,2,0,73
10601,SQUARE,334,226,234,289,216,85,100,-63,-200,6,48,1,1,2,0,73
10621,SQUARE,334,226,275,235,192,116,59,-9,-199,6,48,1,1,2,0,73
10641,SQUARE,334,226,245,232,209,118,89,-6,-198,6,48,1,1,2,0,73
10661,SQUARE,334,226,287,242,185,112,47,-16,-197,6,48,1,1,2,0,73
10681,SQUARE,334,226,289,221,184,123,45,5,-194,6,48,1,1,2,0,73
10701,SQUARE,334,226,289,231,184,119,45,-5,-192,6,48,1,1,2,0,73
10721,SQUARE,334,226,289,231,184,119,45,-5,-190,6,48,1,1,2,0,73
10741,SQUARE,334,226,289,231,184,119,45,-5,-188,6,48,1,1,2,0,73
10761,SQUARE,334,226,289,188,184,143,45,38,-184,6,48,1,1,2,0,73
10781,SQUARE,334,226,300,229,177,120,34,-3,-182,6,48,1,1,2,0,73
10801,SQUARE,334,226,290,231,183,119,44,-5,-180,6,48,1,1,2,0,73
10821,SQUARE,334,226,290,188,183,143,44,38,-176,6,48,1,1,2,0,73
10841,SQUARE,293,267,300,229,140,157,-7,38,-174,2,16,1,1,2,0,73
10861,SQUARE,293,267,290,231,145,155,3,36,-172,2,16,1,1,2,0,73
10881,SQUARE,293,267,246,221,171,161,47,46,-170,2,16,1,1,2,0,73
10901,SQUARE,293,267,287,242,147,149,6,25,-169,2,16,1,1,2,0,73
10921,SQUARE,293,267,289,232,146,155,4,35,-167,2,16,1,1,2,0,73
10941,SQUARE,293,267,289,232,146,155,4,35,-165,2,16,1,1,2,0,73
10961,SQUARE,293,267,279,232,152,155,14,35,-163,2,16,1,1,2,0,73
