time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
16022,SQUARE,280,280,231,243,168,161,49,37,-345,0,24,1,13,3,0,47
16042,SQUARE,280,280,231,287,168,136,49,-7,-346,0,24,1,13,3,0,47
16062,SQUARE,280,280,242,278,162,141,38,2,-346,0,24,1,13,3,0,47
16082,SQUARE,280,280,232,245,167,160,48,35,-347,0,24,1,13,3,0,47
16102,SQUARE,280,280,232,243,167,161,48,37,-347,0,24,1,13,3,0,47
16122,SQUARE,280,280,242,276,162,142,38,4,-348,0,24,1,13,3,0,47
16142,SQUARE,280,280,232,278,167,141,48,2,-349,0,24,1,13,3,0,47
16162,SQUARE,280,280,232,278,167,141,48,2,-350,0,24,1,13,3,0,47
16182,SQUARE,280,280,242,278,162,141,38,2,-350,0,24,1,13,3,0,47
16202,SQUARE,280,280,232,245,167,160,48,35,-350,0,24,1,13,3,0,47
16222,SQUARE,280,280,242,243,162,161,38,37,-351,0,24,1,13,3,0,47
16242,SQUARE,280,280,276,243,142,161,4,37,-352,0,24,1,13,3,0,47
16262,SQUARE,280,280,234,287,166,136,46,-7,-352,0,24,1,13,3,0,47
16282,SQUARE,280,280,243,246,161,159,37,34,-353,0,24,1,13,3,0,47
16302,SQUARE,295,265,243,243,175,147,52,22,-354,2,16,1,13,3,0,47
16322,SQUARE,295,265,276,243,156,147,19,22,-354,2,16,1,13,3,0,47
16342,SQUARE,295,265,278,287,154,123,17,-22,-354,2,16,1,13,3,0,47
16362,SQUARE,343,217,278,235,198,108,65,-18,-353,6,48,1,13,3,0,47
16382,SQUARE,398,162,278,232,249,60,120,-70,-352,6,48,1,13,3,0,47
16402,SQUARE,398,162,278,232,249,60,120,-70,-351,6,48,1,13,3,0,47
16422,SQUARE,398,162,289,221,243,66,109,-59,-348,6,48,1,13,3,0,47
16442,SQUARE,398,162,333,220,217,67,65,-58,-343,6,48,1,13,3,0,47
16462,SQUARE,398,162,336,176,215,92,62,-14,-337,6,48,1,13,3,0,47
16482,SQUARE,350,210,347,174,165,136,3,36,-333,2,16,1,13,3,0,47
16502,SQUARE,350,210,337,174,171,136,13,36,-328,2,16,1,13,3,0,47
16522,SQUARE,335,225,336,184,158,144,-1,41,-324,0,24,1,13,3,0,47
16542,SQUARE,335,225,336,174,158,150,-1,51,-319,0,24,1,13,3,0,47
16562,SQUARE,335,225,292,184,182,144,43,41,-316,0,24,1,13,3,0,47
16582,SQUARE,335,225,290,185,184,144,45,40,-312,0,24,1,13,3,0,47
16602,SQUARE,335,225,300,229,178,119,35,-4,-309,0,24,1,13,3,0,47
16622,SQUARE,335,225,301,220,177,123,34,5,-306,0,24,1,13,3,0,47
16642,SQUARE,335,225,290,220,184,123,45,5,-302,0,24,1,13,3,0,47
16662,SQUARE,335,225,300,220,178,123,35,5,-299,0,24,1,13,3,0,47
16682,SQUARE,257,303,334,187,88,215,-77,116,-295,-3,28,1,13,3,0,47
16702,SQUARE,217,343,249,229,100,227,-32,114,-295,-6,12,1,13,3,0,47
16722,SQUARE,217,343,233,242,109,219,-16,101,-294,-6,12,1,13,3,0,47
16742,SQUARE,217,343,242,243,104,219,-25,100,-296,-6,12,1,13,3,0,47
16762,SQUARE,217,343,232,287,110,193,-15,56,-297,-6,12,1,13,3,0,47
16782,SQUARE,217,343,232,289,110,192,-15,54,-299,-6,12,1,13,3,0,47
16802,SQUARE,217,343,188,289,134,192,29,54,-303,-6,12,1,13,3,0,47
16822,SQUARE,217,343,229,300,112,185,-12,43,-305,-6,12,1,13,3,0,47
16842,SQUARE,217,343,188,334,134,166,29,9,-309,-6,12,1,13,3,0,47
16862,SQUARE,217,343,185,292,136,190,32,51,-313,-6,12,1,13,3,0,47
16882,SQUARE,162,398,229,301,62,236,-67,97,-316,-6,12,1,13,3,0,47
16902,SQUARE,162,398,177,301,92,236,-15,97,-321,-6,12,1,13,3,0,47
16922,SQUARE,162,398,174,345,94,210,-12,53,-327,-6,12,1,13,3,0,47
16942,SQUARE,162,398,174,347,94,209,-12,51,-334,-6,12,1,13,3,0,47
16962,SQUARE,162,398,130,347,118,209,32,51,-340,-6,12,1,13,3,0,47
16982,SQUARE,162,398,171,347,95,209,-9,51,-346,-6,12,1,13,3,0,47
17002,SQUARE,162,398,173,358,94,203,-11,40,-352,-6,12,1,13,3,0,47
17022,SQUARE,225,335,173,348,151,151,52,-13,-359,0,24,1,13,3,0,47
17042,SQUARE,225,335,173,348,151,151,52,-13,-366,0,24,1,13,3,0,47
17062,SQUARE,225,335,130,304,176,175,95,31,-371,0,24,1,13,3,0,47
17082,SQUARE,225,335,214,301,127,177,11,34,-376,0,24,1,13,3,0,47
17102,SQUARE,225,335,176,345,149,153,49,-10,-381,0,24,1,13,3,0,47
17122,SQUARE,225,335,174,347,150,152,51,-12,-386,0,24,1,13,3,0,47
17142,SQUARE,288,272,184,337,202,100,104,-65,-390,6,48,1,13,3,0,47
17162,SQUARE,288,272,185,292,201,126,103,-20,-393,6,48,1,13,3,0,47
17182,SQUARE,343,217,229,290,227,76,114,-73,-395,6,48,1,13,3,0,47
17202,SQUARE,343,217,231,279,225,83,112,-62,-396,6,48,1,13,3,0,47
17222,SQUARE,343,217,242,234,219,109,101,-17,-396,6,48,1,13,3,0,47
17242,SQUARE,343,217,276,243,199,103,67,-26,-394,6,48,1,13,3,0,47
17262,SQUARE,343,217,289,221,192,116,54,-4,-392,6,48,1,13,3,0,47
17282,SQUARE,343,217,279,231,198,110,64,-14,-390,6,48,1,13,3,0,47
17302,SQUARE,343,217,289,231,192,110,54,-14,-388,6,48,1,13,3,0,47
17322,SQUARE,343,217,300,221,185,116,43,-4,-385,6,48,1,13,3,0,47
17342,SQUARE,440,120,290,231,281,21,150,-111,-383,11,32,1,13,3,0,47
17362,SQUARE,440,120,333,177,256,52,107,-57,-378,11,32,1,13,3,0,47
17382,SQUARE,440,120,336,174,254,54,104,-54,-371,11,32,1,13,3,0,47
17402,SQUARE,440,120,390,163,223,61,50,-43,-365,11,32,1,13,3,0,47
17422,SQUARE,343,217,350,129,157,169,-7,88,-357,6,48,1,13,3,0,47
17442,SQUARE,343,217,359,160,152,151,-16,57,-350,6,48,1,13,3,0,47
17462,SQUARE,343,217,337,184,164,137,6,33,-346,6,48,1,13,3,0,47
17482,SQUARE,343,217,336,174,165,142,7,43,-340,6,48,1,13,3,0,47
17502,SQUARE,343,217,303,174,184,142,40,43,-335,6,48,1,13,3,0,47
17522,SQUARE,343,217,345,174,160,142,-2,43,-330,6,48,1,13,3,0,47
17542,SQUARE,343,217,304,174,183,142,39,43,-324,6,48,1,13,3,0,47
17562,SQUARE,343,217,301,217,185,118,42,0,-320,6,48,1,13,3,0,47
17582,SQUARE,343,217,301,176,185,141,42,41,-315,6,48,1,13,3,0,47
17602,SQUARE,343,217,301,185,185,136,42,32,-311,6,48,1,13,3,0,47
