time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
25560,SQUARE,280,280,234,246,166,159,46,34,-516,0,24,1,0,5,0,76
25580,SQUARE,296,264,243,287,175,121,53,-23,-517,2,16,1,0,5,0,76
25600,SQUARE,293,267,276,278,153,129,17,-11,-517,2,16,1,0,5,0,76
25620,SQUARE,293,267,278,278,152,129,15,-11,-517,2,16,1,0,5,0,76
25640,SQUARE,293,267,234,278,178,129,59,-11,-517,2,16,1,0,5,0,76
25660,SQUARE,293,267,286,278,148,129,7,-11,-517,2,16,1,0,5,0,76
25680,SQUARE,293,267,278,278,152,129,15,-11,-517,2,16,1,0,5,0,76
25700,SQUARE,293,267,278,278,152,129,15,-11,-517,2,16,1,0,5,0,76
25720,SQUARE,293,267,278,234,152,154,15,33,-517,2,16,1,0,5,0,76
25740,SQUARE,293,267,278,243,152,148,15,24,-516,2,16,1,0,5,0,76
25760,SQUARE,293,267,245,243,171,148,48,24,-516,2,16,1,0,5,0,76
25780,SQUARE,334,226,243,243,210,112,91,-17,-516,6,48,1,0,5,0,76
25800,SQUARE,334,226,287,232,185,118,47,-6,-513,6,48,1,0,5,0,76
25820,SQUARE,334,226,289,232,184,118,45,-6,-511,6,48,1,0,5,0,76
25840,SQUARE,334,226,289,221,184,123,45,5,-509,6,48,1,0,5,0,76
25860,SQUARE,334,226,289,231,184,119,45,-5,-507,6,48,1,0,5,0,76
25880,SQUARE,334,226,333,231,158,119,1,-5,-505,6,48,1,0,5,0,76
25900,SQUARE,334,226,292,231,182,119,42,-5,-501,6,48,1,0,5,0,76
25920,SQUARE,389,171,290,231,234,69,99,-60,-499,6,48,1,0,5,0,76
25940,SQUARE,389,171,300,177,228,100,89,-6,-494,6,48,1,0,5,0,76
25960,SQUARE,389,171,301,185,228,95,88,-14,-490,6,48,1,0,5,0,76
25980,SQUARE,329,231,345,174,147,156,-16,57,-484,2,16,1,0,5,0,76
26000,SQUARE,348,212,304,184,188,133,44,28,-480,2,16,1,0,5,0,76
26020,SQUARE,348,212,301,185,190,132,47,27,-477,2,16,1,0,5,0,76
26040,SQUARE,348,212,345,185,164,132,3,27,-471,2,16,1,0,5,0,76
26060,SQUARE,348,212,336,218,169,114,12,-6,-467,2,16,1,0,5,0,76
26080,SQUARE,335,225,303,176,176,149,32,49,-462,0,24,1,0,5,0,76
26100,SQUARE,335,225,301,217,177,125,34,8,-458,0,24,1,0,5,0,76
26120,SQUARE,335,225,334,220,158,123,1,5,-454,0,24,1,0,5,0,76
