time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
40841,SQUARE,267,293,278,278,129,152,-11,15,-905,-2,8,1,251,9,0,68
40861,SQUARE,267,293,234,245,154,171,33,48,-906,-2,8,1,251,9,0,68
40881,SQUARE,267,293,243,287,148,147,24,6,-907,-2,8,1,251,9,0,68
40901,SQUARE,267,293,243,278,148,152,24,15,-907,-2,8,1,251,9,0,68
40921,SQUARE,267,293,243,245,148,171,24,48,-907,-2,8,1,251,9,0,68
40941,SQUARE,267,293,276,287,130,147,-9,6,-908,-2,8,1,251,9,0,68
40961,SQUARE,267,293,278,278,129,152,-11,15,-908,-2,8,1,251,9,0,68
40981,SQUARE,267,293,234,245,154,171,33,48,-909,-2,8,1,251,9,0,68
41001,SQUARE,267,293,243,287,148,147,24,6,-910,-2,8,1,251,9,0,68
41021,SQUARE,267,293,243,278,148,152,24,15,-910,-2,8,1,251,9,0,68
41041,SQUARE,226,334,232,289,118,184,-6,45,-911,-6,12,1,251,9,0,68
41061,SQUARE,226,334,232,279,118,189,-6,55,-913,-6,12,1,251,9,0,68
41081,SQUARE,226,334,232,289,118,184,-6,45,-915,-6,12,1,251,9,0,68
41101,SQUARE,226,334,221,289,123,184,5,45,-919,-6,12,1,251,9,0,68
41121,SQUARE,226,334,231,333,119,158,-5,1,-921,-6,12,1,251,9,0,68
41141,SQUARE,226,334,231,292,119,182,-5,42,-924,-6,12,1,251,9,0,68
41161,SQUARE,322,238,231,290,206,95,91,-52,-926,-2,8,1,251,9,0,68
41181,SQUARE,322,238,275,290,181,95,47,-52,-926,-2,8,1,251,9,0,68
41201,SQUARE,322,238,278,235,179,126,44,3,-925,-2,8,1,251,9,0,68
41221,SQUARE,322,238,234,243,205,123,88,-5,-925,-2,8,1,251,9,0,68
41241,SQUARE,322,238,286,243,174,123,36,-5,-925,-2,8,1,251,9,0,68
41261,SQUARE,322,238,278,232,179,128,44,6,-924,-2,8,1,251,9,0,68
41281,SQUARE,322,238,289,232,173,128,33,6,-923,-2,8,1,251,9,0,68
41301,SQUARE,277,283,246,242,156,164,31,41,-921,-6,12,1,251,9,0,68
41321,SQUARE,281,279,287,232,137,166,-6,47,-920,-6,12,1,251,9,0,68
41341,SQUARE,281,279,246,275,160,141,35,4,-920,-6,12,1,251,9,0,68
41361,SQUARE,281,279,243,245,162,158,38,34,-920,-6,12,1,251,9,0,68
41381,SQUARE,281,279,243,232,162,166,38,47,-918,-6,12,1,251,9,0,68
41401,SQUARE,281,279,287,242,137,160,-6,37,-918,-6,12,1,251,9,0,68
41421,SQUARE,281,279,278,276,141,140,3,3,-918,-6,12,1,251,9,0,68
41441,SQUARE,281,279,278,234,141,165,3,45,-918,-6,12,1,251,9,0,68
41461,SQUARE,226,334,278,243,91,210,-52,91,-918,-6,12,1,251,9,0,68
41481,SQUARE,226,334,234,287,117,185,-8,47,-919,-6,12,1,251,9,0,68
41501,SQUARE,226,334,232,278,118,190,-6,56,-920,-6,12,1,251,9,0,68
41521,SQUARE,226,334,232,289,118,184,-6,45,-922,-6,12,1,251,9,0,68
41541,SQUARE,226,334,232,289,118,184,-6,45,-924,-6,12,1,251,9,0,68
41561,SQUARE,226,334,232,289,118,184,-6,45,-926,-6,12,1,251,9,0,68
41581,SQUARE,226,334,232,289,118,184,-6,45,-929,-6,12,1,251,9,0,68
41601,SQUARE,226,334,232,333,118,158,-6,1,-931,-6,12,1,251,9,0,68
41621,SQUARE,226,334,221,292,123,182,5,42,-934,-6,12,1,251,9,0,68
