time_ms,mode,left_target,right_target,left_mmps,right_mmps,left_pwm,right_pwm,left_error,right_error,count_diff,line_error,line_mask,line_valid,yaw_x10,corner_count,square_state,turn_travel_mm
21,SQUARE,4,4,0,0,48,48,4,4,0,0,24,1,0,0,0,0
41,SQUARE,9,9,0,0,53,53,9,9,0,0,24,1,0,0,0,0
61,SQUARE,13,13,10,10,50,50,3,3,0,0,24,1,0,0,0,0
81,SQUARE,18,18,0,0,61,61,18,18,0,0,24,1,0,0,0,0
101,SQUARE,22,22,43,10,40,58,-21,12,0,0,24,1,0,0,0,0
121,SQUARE,27,27,2,44,68,45,25,-17,-1,0,24,1,0,0,0,0
141,SQUARE,31,31,11,2,66,71,20,29,0,0,24,1,0,0,0,0
161,SQUARE,36,36,11,11,71,71,25,25,0,0,24,1,0,0,0,0
181,SQUARE,41,41,11,55,75,50,30,-14,-1,0,24,1,0,0,0,0
201,SQUARE,45,45,44,46,60,60,1,-1,-1,0,24,1,0,0,0,0
221,SQUARE,50,50,13,46,83,64,37,4,-1,0,24,1,0,0,0,0
241,SQUARE,54,54,11,57,87,62,43,-3,-2,0,24,1,0,0,0,0
261,SQUARE,59,59,55,47,67,71,4,12,-1,0,24,1,0,0,0,0
281,SQUARE,63,63,14,57,94,69,49,6,-1,0,24,1,0,0,0,0
301,SQUARE,68,68,55,57,75,74,13,11,-2,0,24,1,0,0,0,0
321,SQUARE,72,72,57,57,77,77,15,15,-3,0,24,1,0,0,0,0
341,SQUARE,77,77,57,68,82,76,20,9,-3,0,24,1,0,0,0,0
361,SQUARE,81,81,57,58,85,85,24,23,-4,0,24,1,0,0,0,0
381,SQUARE,86,86,57,68,90,84,29,18,-3,0,24,1,0,0,0,0
401,SQUARE,90,90,68,102,87,69,22,-12,-4,0,24,1,0,0,0,0
421,SQUARE,95,95,102,104,73,72,-7,-9,-4,0,24,1,0,0,0,0
441,SQUARE,99,99,60,104,100,76,39,-5,-5,0,24,1,0,0,0,0
461,SQUARE,104,104,69,71,100,99,35,33,-6,0,24,1,0,0,0,0
481,SQUARE,109,109,69,113,105,80,40,-4,-5,0,24,1,0,0,0,0
501,SQUARE,113,113,113,72,83,106,0,41,-6,0,24,1,0,0,0,0
521,SQUARE,118,118,104,113,93,87,14,5,-7,0,24,1,0,0,0,0
541,SQUARE,122,122,71,115,115,90,51,7,-6,0,24,1,0,0,0,0
561,SQUARE,127,127,113,115,96,94,14,12,-6,0,24,1,0,0,0,0
581,SQUARE,131,131,115,115,98,98,16,16,-7,0,24,1,0,0,0,0
601,SQUARE,136,136,115,115,103,103,21,21,-8,0,24,1,0,0,0,0
621,SQUARE,140,140,115,126,106,100,25,14,-8,0,24,1,0,0,0,0
641,SQUARE,145,145,115,160,111,86,30,-15,-8,0,24,1,0,0,0,0
661,SQUARE,149,149,126,118,108,112,23,31,-9,0,24,1,0,0,0,0
681,SQUARE,154,154,116,170,119,88,38,-16,-9,0,24,1,0,0,0,0
701,SQUARE,158,158,126,119,116,120,32,39,-10,0,24,1,0,0,0,0
721,SQUARE,163,163,160,170,101,96,3,-7,-10,0,24,1,0,0,0,0
741,SQUARE,181,153,162,162,117,92,19,-9,-10,2,16,1,0,0,0,0
761,SQUARE,186,158,162,162,121,96,24,-4,-9,2,16,1,0,0,0,0
781,SQUARE,191,163,129,129,144,119,62,34,-10,2,16,1,0,0,0,0
801,SQUARE,169,193,171,171,101,122,-2,22,-9,0,24,1,0,0,0,0
821,SQUARE,186,186,130,173,140,115,56,13,-10,0,24,1,0,0,0,0
841,SQUARE,190,190,171,173,120,118,19,17,-10,0,24,1,0,0,0,0
861,SQUARE,209,181,173,173,136,110,36,8,-11,2,16,1,0,0,0,0
881,SQUARE,213,185,173,173,140,113,40,12,-11,2,16,1,0,0,0,0
901,SQUARE,268,140,173,173,191,73,95,-33,-11,6,48,1,0,0,0,0
921,SQUARE,266,150,217,173,163,83,49,-23,-9,6,48,1,0,0,0,0
941,SQUARE,271,155,220,163,166,93,51,-8,-8,6,48,1,0,0,0,0
961,SQUARE,275,159,220,173,169,91,55,-14,-7,6,48,1,0,0,0,0
981,SQUARE,280,164,231,173,168,95,49,-9,-5,6,48,1,0,0,0,0
1001,SQUARE,284,168,231,173,171,100,53,-5,-2,6,48,1,0,0,0,0
1021,SQUARE,289,173,231,173,176,103,58,0,0,6,48,1,0,0,0,0
